,_id,tweet_id,text,task_1,task_2
5113,60c5d7495659ea5e55df0e67,hi_hasoc_2021_5116,"वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी ""धृतराष्ट्र"" की तरह हैं| #राष्ट्रपति_जी_बंगाल_संभालो #BengalBurning #bengalvoilence @beingarun28 @OpIndia_com @sambitswaraj @DChaurasia2312 @AsYouNotWish",HOF,HATE
6026,60c5d7495659ea5e55df1bbe,hi_hasoc_2021_6031,@Dr_Uditraj अमेरिका में तुम जैसे लोग दोगला राजनीति नहीं करते है इसलिए वहां मास्क नहीं लगाना पड़ रहा है,HOF,OFFN
1794,60c5d7495659ea5e55df1058,hi_hasoc_2021_1794,कोई यहाँ भी नज़र डाले 😢 #ModiKaVaccineJumla https://t.co/HzX0PvohPQ,NOT,NONE
62,60c5d7495659ea5e55df0526,hi_hasoc_2021_62,#AajTak_दलाल_मोदी_का https://t.co/ZKKV8pvIu9,NOT,NONE
4608,60c5d7495659ea5e55df0bca,hi_hasoc_2021_4609,@Kavi_Ghar सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने ? -नवनीत,HOF,HATE
4598,60c5d7495659ea5e55df0c87,hi_hasoc_2021_4599,जानवर भी हमें बहुत कुछ सिखाती है ।   किस तरह पानी को बचाना चाहिए ये हम सभी को इस हाथी से सीखने की जरूरत।  खूबसूरत दृश्य  @ParveenKaswan @nisha_singhmarr  @CentralIfs  @PraveenIFShere  @ipskabra  @ipsvijrk  @Sanjay97odisha  @MVRaoIPS  @mvraoforindia  @polrajiv  @AwanishSharan https://t.co/V1DFa8Lv0p,NOT,NONE
4260,60c5d7495659ea5e55df069b,hi_hasoc_2021_4260,तिहाड़ जेल के स्पेशल सेल में कोरोना पहुंचा कैसे मुझे लगता हे ये सिस्टम का कोरोना है    #JusticeForShahabuddin,NOT,NONE
2915,60c5d7495659ea5e55df150e,hi_hasoc_2021_2915,इसी टाइम पे वन नेशन वन इलेक्शन होना चाहिए था ! #JusticeForShahabuddin #ExitModi #PresidentRuleInBengal #नरेंद्र_मोदी_ग्लोबल_पप्पू #BengalBurning #दीदी_ओ_दीदी #BengalElection2021 #ElectionResult,NOT,NONE
893,60c5d7495659ea5e55df0c9e,hi_hasoc_2021_893,कोविड टीकाकरण: राजस्थान में गांवों में कैंप लगाए जाने से टीकाकरण मुहिम पर क्या असर पड़ा है? रिपोर्ट: @divendrasingh  #Rajastan @ashokgehlot51 @RajCMO #COVIDSecondWave #CovidVaccine  https://t.co/Q1uzQig8h4,NOT,NONE
5706,60c5d7495659ea5e55df1805,hi_hasoc_2021_5709,"@Bhartim01768706 ये हरामी शिक्षक नहीं, शिक्षक के नाम पर कलंक है, सालों को फांसी से कम सजा नहीं होनी चाहिए",HOF,OFFN
318,60c5d7495659ea5e55df05a4,hi_hasoc_2021_318,@yadavtejashwi ये तस्वीर अपनी ज़ेहन में बिठा लेना ये तस्वीर @RJDforIndia को बर्बादी पर ले जाएगा। #JusticeForShahabuddin https://t.co/TiBPAeIzSx,NOT,NONE
4726,60c5d7495659ea5e55df0958,hi_hasoc_2021_4727,@mdanis_2 @Mkkhan9090 @Anjana_Modi_ @nagrik25 @DXLucifer_Devil @Khushbu_shaikh1 @speedytohike @ProfNoor_ @iPraveenK_ @Insaafparody111 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
5474,60c5d7495659ea5e55df14be,hi_hasoc_2021_5477,@PTI_News ONCE IN A CENTURY  @narendramodi जैसा मनहुस पैदा होता है @PMOIndia  #मनहुस_मोदी का साया देश से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,HOF,OFFN
3650,60c5d7495659ea5e55df1a0d,hi_hasoc_2021_3650,@BramhRakshas मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE
3693,60c5d7495659ea5e55df1a68,hi_hasoc_2021_3693,"अगर धरना देने से सब सही हो जाता तो..  कुरुक्षेत्र में  ""श्री कृष्ण"" भी ""अर्जुन"" को यही सलाह देते.. पश्चिम बंगाल  @BJP4India @BJP4Bengal  #BengalBurning",NOT,NONE
1378,60c5d7495659ea5e55df0e0b,hi_hasoc_2021_1378,मुनाफ़िक़ दोस्तों से लाख अच्छे हैं खुले दुश्मन। #BycottRJD  #JusticeForShahabuddin @osama_shahab_  @yadavtejashwi  @TejYadav14  @laluprasadrjd https://t.co/oop4KGM4X8,NOT,NONE
2241,60c5d7495659ea5e55df1241,hi_hasoc_2021_2241,"मरहूम सहाबुद्दीन की लाश जैसे दिल्ली गेट ITO कब्रिस्तान मे सुपुर्द ए खाक हुई,❣️   Inshallah ऐसे ही बिहार में  लालू तेरी पार्टी को सुपुर्दे खाक करेगी बिहार की जनता #JusticeForShahabuddin",NOT,NONE
4287,60c5d7495659ea5e55df0647,hi_hasoc_2021_4287,"अगर जरा भी ज़मीर बचा है और जरा भी साहब से मोहब्बत थी तो #boycottRJD करो और पार्टी पद से इस्तीफ़ा दो, चाहे BJP कियु न जॉइन करना पड़े, वरना ढोंगी रोना बन्द करो! #JusticeForShahabuddin  #BoycottRJD",HOF,HATE
5834,60c5d7495659ea5e55df18cf,hi_hasoc_2021_5838,"@Sabhapa30724463 उप्र लागू नही होता क्यों कि मै जानवर जाती हूं अतः आप अब बताइए क्या कारण बनता है भगवान राम कहतेहैं सुनोमै चक्रवर्ती महाराज की दसरथ का पुत्र राम हूंअतः मुझे यह अधिकार है कि यदि कोई पसु समाज के द्रोही, हिंसक, व जीव को हानी पहुंचाता होतो राजा का अधिकार है कि उसै मार दिया जाय क्रमशः",HOF,OFFN
3022,60c5d7495659ea5e55df1579,hi_hasoc_2021_3022,"@Jagratichandra1 मैं तुम्हारी यादों को कैसे  ""Block"" करूँ ""कमीने""   दिल में तो ये ""Option"" ही      नही है..✍",NOT,NONE
4946,60c5d7495659ea5e55df0d7c,hi_hasoc_2021_4949,@yadavtejashwi सब याद रखा जायेगा.. #JusticeForShahabuddin,NOT,NONE
2174,60c5d7495659ea5e55df129a,hi_hasoc_2021_2174,#राजदपार्टी बेवफ़ा औरतों जैसा है जितना जल्द हो सके सभी मुस्लिम विधायक और सांसद इस्तीफा दे दे #JusticeForShahabuddin,NOT,NONE
3189,60c5d7495659ea5e55df16ef,hi_hasoc_2021_3189,"आज शर्म से आंखें झुक गई  @narendramodi को क्यों चुना रक्षा करने के लिए या महंगाई के लिए या रोजगार के लिए आपने क्या दिया,,, मौत #BengalBurning",NOT,NONE
2788,60c5d7495659ea5e55df14b7,hi_hasoc_2021_2788,#ModiKaVaccineJumla #ModiResign #IndiaFightsCorona #PMCaresFund_का_हिसाब_दो #PMDoesNotCare https://t.co/TH0wgGFB3n,NOT,NONE
3452,60c5d7495659ea5e55df1a2b,hi_hasoc_2021_3452,"किसी भी तरह का इस नंबर से reply नही हुआ..क्या मैं(कल की तारीख़ में अगर कोई जान या जानवर करंट आने पर मरता है,जो अभी नही आया ""करंट"" कल को आ जाये तो कौन जिम्मेदार)एक बड़े हादसे को रोकने के लिए आप से निवेदन.ऊपर बच्चे रहते हैं(जैसा कि आप वीडियो में देख सकते हैं)  @CMOfficeUP @KESCoHQ https://t.co/ixSVqEoRUU",NOT,NONE
809,60c5d7495659ea5e55df0bc3,hi_hasoc_2021_809,यह ख़ौफ़ की आहट हैं या मौत का सन्नाटा है   @varungandhi80  @msisodia @sahitya_tak @Javedakhtarjadu @SwetaSinghAT @Drnawazdeobandi @anupamaraag1 @juniorbachchan  #IndiaCovidCrisis #OxygenCrisis https://t.co/GoYKYdXc69,NOT,NONE
6087,60c5d7495659ea5e55df1b50,hi_hasoc_2021_6092,"गांधी खानदान को गांधी की पड़पोती ने सिद्ध किया बस सात साल जेल,यहां क्यों वेल पर घूम रहे है कमीने?",HOF,OFFN
2830,60c5d7495659ea5e55df14f0,hi_hasoc_2021_2830,"जल गई लासे, हो गई राख  घर आके सोई गये फिर से  #गुलाम  #FightForRight #ResignModi https://t.co/SFCJwqTfh7",NOT,NONE
282,60c5d7495659ea5e55df06b7,hi_hasoc_2021_282,#Shamemamatabannerjee #राष्ट्रपति_जी_बंगाल_संभालो  #MamataBanarjee  #BengalBurning https://t.co/CepcxY961N,NOT,NONE
2682,60c5d7495659ea5e55df139d,hi_hasoc_2021_2682,"@yogrishiramdev लाला जी,  इतने फूहड़ हथकंडे अपना कर अपना नकली उत्पाद बेचने की इतनी बेशर्म प्रदर्शन के बदलें कोई और काम नही मिलता क्या ?",NOT,NONE
5595,60c5d7495659ea5e55df16bd,hi_hasoc_2021_5598,@SudarshanNewsTV @SureshChavhanke सुअर तेरे कितने रूप,HOF,OFFN
5907,60c5d7495659ea5e55df1bb7,hi_hasoc_2021_5911,"@Sujata1978 ऐसे जानवर हर दूसरे घर में भरे पड़े हैं, सख्त अफ़सोस की बात है...सब वाकिफ़ हैं पर सब भुला दिया जाएगा चंद पलों में.. जैसे स्त्री मनुष्य ही ना हो, उसकी इज्‍जत, सम्मान, भावनाओं का कोई मोल ही ना हो... हद है   क्या वहां कोई भी ऐसा पुरुष नहीं था कि अपना जूता प्रयोग कर पाता...",HOF,HATE
4650,60c5d7495659ea5e55df0bc2,hi_hasoc_2021_4651,@ghaziabadpolice @Uppolice @amitpathak09 @adgzonemeerut @igrangemeerut @AmarUjalaNews @AHindinews @NavbharatTimes @Live_Hindustan @TOINoida @dgpup क्या गाजि़याबाद पुलिस इस अज्ञानी मुर्ख नरसिम्हानंद सरस्वती को गिरफ्तार नही कर सकती??क्या गाजि़याबाद पुलिस पर किसी का दबाव है क्या जो अबतक इस नरसिम्हानंद सरस्वती को गिरफ्तार नही किया गया?? देश के हर शहर से इस नरसिम्हानंद सरस्वती के खिलाफ FIR हुयी फिर भी इसे गिरफ्तार नही किया गया😡 https://t.co/e89XIYKzWD,HOF,OFFN
3715,60c5d7495659ea5e55df1b5b,hi_hasoc_2021_3715,@mridz_twt भाड़ में जाओ तुम प्यारी,NOT,NONE
321,60c5d7495659ea5e55df05d4,hi_hasoc_2021_321,जो शहाबुद्दीन के साथ हुआ वो आज़म खान के साथ नहीं होना चाहिए इसलिए आइए हम सब आवाज उठाते हैं #JusticeForShahabuddin,NOT,NONE
2707,60c5d7495659ea5e55df1320,hi_hasoc_2021_2707,#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/hYv7yPSRiX,NOT,NONE
3602,60c5d7495659ea5e55df1b5a,hi_hasoc_2021_3602,"@jviplav मोदी विरोधियों को बंगाल की हिंसा में भी लोकतंत्र नज़र आ रहा है... इसलिए सब के सब मुँह में दही जमाये बैठे हैं!  ""असहिष्णुता...संविधान की हत्या"" जैसे शब्द अब डिक्सनरी से गायब हैं!! #BengalBurning",NOT,NONE
5715,60c5d7495659ea5e55df16eb,hi_hasoc_2021_5718,इस देश में आतंकी की लाश उसके घर वालों को मिल सकती है दलालों की लाशे उसके घर मिल सकती है पर यहां खत्म होने के बाद भी  आखिरी rusumaat नहीं कर सकते।😡😠 लानत हो ऐसी सरकार पे खुदा गारत करें निकम्मी सरकार को। #JusticeForShahabuddin,HOF,HATE
4861,60c5d7495659ea5e55df0bd2,hi_hasoc_2021_4864,भाजपा की केंद्र मे पूर्ण बहुत की सरकार है बंगाल में 18 सांसद और करीब 80 विधायक है फिर भी उस दल का राष्ट्रीय अध्यक्ष धरने पर है ये ऑस्कर वाले कहाँ मर गये नड्डा जी को अवार्ड क्यों नहीं दे रहे हैं..!! @SunitaDuggal7  @JPNadda  #BengalBurning,HOF,HATE
4651,60c5d7495659ea5e55df0918,hi_hasoc_2021_4652,"यह भेंस चोर दुसरो को अपना बाप बनाकर अपनी नाजायजी क्यु प्रस्तुत कर रहे हैं, ओर साथ में ट्विटर पर अपनी नेशनल ओर इंटरनेशनल बेइज्जती करवाने से बाज़ नहीं आते..!! #RajputSamratPrithvirajChauhan",HOF,HATE
1816,60c5d7495659ea5e55df0e36,hi_hasoc_2021_1816,बंगाल में ममता रंडी की सरकार है! सारे मुल्ले  इसके भड़वे बन गया है! आसाम का बदला बंगाल में ले रही है ममता रंडी! बंगाल का बदला भाजपा शासित राज्यों में ले हिन्दू! दूसरा कोई रास्ता नहीं है! अन्यथा हिन्दुओं को अपनी  इज्जत की नीलामी खुद अपनी ऑंखों के सामने  देखना पड़ेगा! https://t.co/JNwdhX46H8,HOF,OFFN
2459,60c5d7495659ea5e55df132c,hi_hasoc_2021_2459,#JMDNewsFLASH भारत की मदद को बढ़े हाथ जर्मनी से आए 4 क्रायोजेनिक ऑक्सीजन कंटेनर #Oxygen  #OxygenCrisis  #Germany  #India  #IndiaCovidCrisis  #IndiaNeedsOxygen https://t.co/28nT8kcXyi,NOT,NONE
3419,60c5d7495659ea5e55df1ab1,hi_hasoc_2021_3419,"लालु जैसे बाल्टी में दूध बेचने वाले नेता,  ""तब"" बनते हैं   ""जब"" उनके पीछे ""शहाबुद्दीन"" जैसा  शेर होता है!🔥 @007QaQa @yadavtejashwi @laluprasadrjd @BagwanMaheboob1 #JusticeForShahabuddin",NOT,NONE
817,60c5d7495659ea5e55df0c9d,hi_hasoc_2021_817,शहाबुद्दीन साहब की मौत की गई है ना की उसको COVID-19🦠😷 था #JusticeForShahabuddin,NOT,NONE
4741,60c5d7495659ea5e55df0c5f,hi_hasoc_2021_4742,@JPNadda तो आप ट्वीट करने के अलावा और कर भी क्या रहे हैं? #BengalViolence #BengalBurning,HOF,OFFN
3172,60c5d7495659ea5e55df14ed,hi_hasoc_2021_3172,@uhbvnpkl बस आपकी अति कृपया होगी मुझे ये बताइए line man 9812063026 और जैई 9812063027 क्या ये मौज करने के लिए है नम्बर बंद करो और आराम से सो जाओ पब्लिक भाड़ में जाए,NOT,NONE
5822,60c5d7495659ea5e55df1d23,hi_hasoc_2021_5826,"कनाडा में एक मुस्लिम परिवार के 4 फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है। यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैर-मुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक ""इस्लामिक आतंकवाद"" का रंडी-रोना रो रही होती। #IslamophobiaIsTerrorism",HOF,HATE
1961,60c5d7495659ea5e55df1002,hi_hasoc_2021_1961,रायगड और मेवाड़ भी धरना देते यो क्या होता हमारा @BJP4India @narendramodi @AmitShah ?????  #BengalBurning,NOT,NONE
3246,60c5d7495659ea5e55df16a4,hi_hasoc_2021_3246,मैं किसके हाँथ में अपना लहू तलाश करूँ    की तमाम शहर ने पहने हुए हैं दस्ताने    #JusticeForShahabuddin             @SadabRaza10               @AyubRizvi1              @FaizAlam114             @masood2alam,NOT,NONE
5198,60c5d7495659ea5e55df1187,hi_hasoc_2021_5201,"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/qh8xAtJsd6",HOF,OFFN
2249,60c5d7495659ea5e55df1291,hi_hasoc_2021_2249,आज़म खान साहब का इलाज AIIMS में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते😢🙏 #JusticeForShahabuddin,NOT,NONE
164,60c5d7495659ea5e55df0500,hi_hasoc_2021_164,@AbdurRahman_IPS @myogiadityanath जैसे ढोंगी और गुंडे लोग ज्यादा खतरा है समाज के लिए  ऐसे कमीने लोग सत्ता में बने रहने के लिए किसी भी सीमा तक जा सकते है!,HOF,OFFN
5962,60c5d7495659ea5e55df1cff,hi_hasoc_2021_5967,"5G नेटवर्क चीन का नहीं आ रहा है पूर्ण स्वदेशी jio ला रहा है इसलिए चिन की दलाल अपने इटालियन भाभी जी के जरिए अफवाह फैला रहें हैं ..!  5G से चिड़िया मर रही है मच्छर क्यों नही मर रहे , रोज़ खून पी रहे है ट्विटर के चमचों जवाब दो ?",HOF,HATE
3833,60c5d7495659ea5e55df1979,hi_hasoc_2021_3833,@Pratyangira1 @Tithi_Mishra @narendramodi @JPNadda @AmitShah @DilipGhoshBJP @SuvenduWB @me_locket @ABVPVoice @BJP4India @p_sahibsingh @Tejasvi_Surya @ArjunsinghWB @me_sourish_ @RSSorg @VHPDigital @devyanidilli @Dibakar65112523 @tathagata2 @Bunibroto @rashtrapatibhvn @jdhankhar1 @MukulR_Official @mithunda_off @ippatel Common RSS cadre from North India on #BengalBurning :  धरना के बाद चरखा भी ट्राई करो कहते है अंग्रेज डर कर भाग गये थे 😥😥  #PresidentsRuleinBengal  @PrinceArihan @myogiadityanath,NOT,NONE
1252,60c5d7495659ea5e55df0c5b,hi_hasoc_2021_1252,"महारानी कहकर पुकारो तो कहेगी, और कितनी रानियाँ रखे हो।  रानी कहकर पुकारो तो कहेगी, मै रानी तो महारानी कोई बाहरवाली होगी।  चुप रहो तो कहेगी जैसे मुंह सिला हो,आप ही बताओ क्या कहूं ?😃😃",NOT,NONE
4838,60c5d7495659ea5e55df0bcc,hi_hasoc_2021_4841,ये जो मासूम हिन्दुओं की चिताएं जल रही हैं और अर्थीयो का अपमान हो रहा है..  ये सब राजनैतिक धर्मान्धता और गलत नेताओं की गुलामी का इनाम है!  #IndiaNeedsOxygen  #indianeedoxygen  #IndianLivesMatter  #Oxygen  #OxygenCylinders  #Congress  #RahulGandhi  #ResignModi  #ModiKaVaccineJumla,HOF,HATE
5659,60c5d7495659ea5e55df172f,hi_hasoc_2021_5662,@iAakankshahere @ArvindKejriwal इसके फ्री के चाटुकारों व देश के गद्दारों की वज़ह इसका रंडी रोना चल रहा है वरना यह तो जिसमें कुत्ता खाये उसमें खिलाने लायक है दोगला महाझूठा 😡,HOF,OFFN
5592,60c5d7495659ea5e55df1782,hi_hasoc_2021_5595,"@shahtariq39 @ppbajpai तुम चुप रहो भाईजान, तुम्हे क्या है न तुम कानून के न संविधान के। तुम्हारे भाई बंध इसी tax के पैसे से 10 10 बच्चे खिला पिला रहे और योगदान 0।",HOF,OFFN
4223,60c5d7495659ea5e55df1bd8,hi_hasoc_2021_4223,@AmarSinghKahar5 @beingarun28 चुनावी हिंसा पर धरना देने वालों ऑक्सिजन की कमी और कोरोना से हो रही मौतों पर भी धरना दे दो। हिन्दू तो इसमें भी खतरे में है। हिंदू तो यहाँ भी मर रहा है। बस politics ही करनी है ऐसा बोलो ना।  लेकिन शर्म इनको आती नहीं। #BengalBurning  #PresidentsRuleinBengal #PresidentRuleInBengal,NOT,NONE
5977,60c5d7495659ea5e55df1991,hi_hasoc_2021_5982,@UPENDRA57815086 बिलकुल सही अंकल जी देखकर ही गुस्सा आता है जब ये विश्लेषक की तरह नही एक दलाल की तरह बात करता है,HOF,OFFN
5609,60c5d7495659ea5e55df1713,hi_hasoc_2021_5612,"#Elections2021 #ResignModi  #Resign_PM_Modi  Resign modi  लोगो के मरने से  डर नही लगता, सत्ता जाने से लगता है। https://t.co/RYwatRTbak",HOF,OFFN
3483,60c5d7495659ea5e55df1cb5,hi_hasoc_2021_3483,क्या कोरोना की तीसरी लहर का असर बच्चों पर होगा?  #Coronavirus #COVID19 #CovidVaccine https://t.co/MovYeAl53b,NOT,NONE
1638,60c5d7495659ea5e55df0ffb,hi_hasoc_2021_1638,टीकाकरण अवश्य करायें  #vaccination  #covidvaccine #18plusvaccination #cgfightscorona https://t.co/DHpwTTTMiP,NOT,NONE
2962,60c5d7495659ea5e55df1503,hi_hasoc_2021_2962,@ArmaanS13738198 Why you are giving us so much attention if we r fake farmers? #PrayForFarmersVictory  #देश_ऑक्सीजन_मांगता_है #ResignModi #FarmersProtest,NOT,NONE
1583,60c5d7495659ea5e55df101f,hi_hasoc_2021_1583,हक की आवाज को मजबूत कीजिए एक बार फिर से लिखिए #JusticeForShahabuddin,NOT,NONE
1623,60c5d7495659ea5e55df0e31,hi_hasoc_2021_1623,@New_India9 कुत्ता वफ़ादार होता हैं मैडम।,NOT,NONE
199,60c5d7495659ea5e55df05e5,hi_hasoc_2021_199,#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #NPSनिजीकरणभारतछोड़ो #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #स्वास्थ्य_क्षेत्र_मे_बजट_बढ़ाओ #Resign_PM_Modi #Vaccine_और_MSP_दो https://t.co/peNJfYdTY3,NOT,NONE
2330,60c5d7495659ea5e55df11e2,hi_hasoc_2021_2330,शहाबुद्दीन साहब इकलौता सांसद जिन्होंने कारगिल युद्ध में पाकिस्तान के खिलाफ लड़ने की अनुमति मांगा थी।  तुम उस वक्त बकरी चोरी और साइकिल चोरी में व्यस्त थे देश और देश की आन बान शान के लिए कई किस्ते दे चुके हैं हम अपने खून की 😥😥  #JusticeForShahabuddin  #kargil,NOT,NONE
5401,60c5d7495659ea5e55df13d0,hi_hasoc_2021_5404,"@KhanAmanatullah @OsamaShahab_ @PMOIndia लालू की रिहाई की कीमत शहाबुद्दीन साहब की जान से चुकाई गयी है, RJD की खामोशी इस बात की गवाह है। Tejashwi Yadav दिल्ली में होने के बावजूद हॉस्पिटल नही पहुँच सकें।  ये वक़्त भुला नही जाएगा।।   इमरान भाई अमानतुल्लाह खान आपको सलाम #StandwithOsamaSahab  #JusticeForShahabuddin",HOF,HATE
5771,60c5d7495659ea5e55df1d82,hi_hasoc_2021_5775,लोग मर रहें हैं #बंगाल_हिंसा में ! और ये धरना दे रहे हैं एयर कंडिशन्ड हाल के अंदर । हद्द हरामखोरी है । कोई क्यों करें इन पर विश्वास ??? #BengalElection2021  #BengalBurning https://t.co/8GNj2uMUcW,HOF,HATE
551,60c5d7495659ea5e55df0799,hi_hasoc_2021_551,@MinakshiKandwal @KumarVikrantS 5. डेड बॉडी देने में किसी भी तरह की कोई दलाली नहीं होनी चाहिए  ये #फैक्ट लॉजिक वाला फैक्ट है जैसे   #सरदाना की बॉडी को उसके गांव भेज दिया गया तो #शहाबुद्दीन की बॉडी को #दिल्ली में क्यों दफनाया गया उनके गांव क्यों नहीं भेजा गया...???  #SupportOsamaShahab  #JusticeForShahabuddin,NOT,NONE
