comment,amr
@SandySmithNC @WendyRogersAZ Thank you🙏🙏🙏🇺🇸🇺🇸🇺🇸,"# ::snt @SandySmithNC @WendyRogersAZ Thank you🙏🙏🙏🇺🇸🇺🇸🇺🇸
(t / thank-01
      :ARG0 (ii / i)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-rel-role-91
                  :ARG1 ii
                  :ARG2 (s / sister)))
      :ARG2 t
      :ARG0 ii
      :ARG1 p)"
@SandySmithNC What a coward,"# ::snt @SandySmithNC What a coward
(s / say-01
      :ARG1 (c / coward
            :degree (s2 / so))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
@SandySmithNC @DivintyMary Done,"# ::snt @SandySmithNC @DivintyMary Done
(s / say-01
      :ARG0 (ii / i)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG4 (p2 / person
            :name (n2 / name
                  :op1 ""DivintyMary""
                  :op2 ""Done"")))"
@SandySmithNC @SwyerVanessa Followed,"# ::snt @SandySmithNC @SwyerVanessa Followed
(f / follow-02
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG1 (p2 / person
            :name (n2 / name
                  :op1 ""SwyerVanessa"")))"
@SandySmithNC Yaaaaa,"# ::snt @SandySmithNC Yaaaaa
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (y / ya)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
"@SandySmithNC Thank you Sandy!!! You are an American Hero! We love you and God Bless you for doing what is right and upholding our Constitution!! 🇺🇸🇺🇸🇺🇸🇺🇸

May Freedom Ring!!!!!!","# ::snt @SandySmithNC Thank you Sandy!!! You are an American Hero! We love you and God Bless you for doing what is right and upholding our Constitution!! 🇺🇸🇺🇸🇺🇸🇺🇸

May Freedom Ring!!!!!!
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (t / thank-01
                  :ARG0 ii
                  :ARG1 (p / person
                        :name (n / name
                              :op1 ""SandySmithNC"")))
            :ARG2 p)
      :snt2 (h / hero
            :mod (c / country
                  :name (n2 / name
                        :op1 ""America""))
            :domain (p2 / person
                  :name (n3 / name
                        :op1 ""SandySmithNC"")))
      :snt3 (a / and
            :op1 (l / love-01
                  :ARG0 (w / we)
                  :ARG1 p2)
            :op2 (b / bless-01
                  :ARG0 (p3 / person
                        :name (n4 / name
                              :op1 ""God""))
                  :ARG1 p2
                  :ARG2 (a2 / and
                        :op1 (d / do-02
                              :ARG0 p2
                              :ARG1 (t2 / thing
                                    :ARG1-of (r / right-02)))
                        :op2 (u / uphold-01
                              :ARG0 p2
                              :ARG1 (l2 / law
                                    :name (n5 / name
                                          :op1 ""Constitution"")
                                    :poss w)))))
      :snt4 (r2 / ring
            :name (n6 / name
                  :op1 ""May""
                  :op2 ""Freedom"")))"
@SandySmithNC If Election Fraud Stands America FALLS,"# ::snt @SandySmithNC If Election Fraud Stands America FALLS
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (h / have-condition-91
            :ARG2 (s2 / stamp-01
                  :ARG0 (d / defraud-01
                        :ARG1 (e / elect-01))
                  :ARG1 (c / country
                        :name (n / name
                              :op1 ""America""))
                  :ARG2 (f / foul)))
      :ARG2 (p / person
            :name (n2 / name
                  :op1 ""SandySmithNC"")))"
@SandySmithNC Thank you 🇺🇲🇺🇲🇺🇲,"# ::snt @SandySmithNC Thank you 🇺🇲🇺🇲🇺🇲
(t / thank-01
      :ARG0 (ii / i)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG2 (y / you))"
@SandySmithNC @DanielsCongress Follow back,"# ::snt @SandySmithNC @DanielsCongress Follow back
(f / follow-02
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG1 (g / government-organization
            :name (n2 / name
                  :op1 ""Congress""))
      :direction (b / back))"
@SandySmithNC @trixmarieWA lucard_x40irc,"# ::snt @SandySmithNC @trixmarieWA lucard_x40irc
(a / and
      :op1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :op2 (p2 / person
            :name (n2 / name
                  :op1 ""TrixmarieWA""))
      :op3 (p3 / person
            :name (n3 / name
                  :op1 ""Lucard_x40irc"")))"
@SandySmithNC Following.....And Thank You Sandy For Fighting For America!!! You Are a Patriot!!!,"# ::snt @SandySmithNC Following.....And Thank You Sandy For Fighting For America!!! You Are a Patriot!!!
(m / multi-sentence
      :snt1 (f / follow-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC"")))
      :snt2 (t / thank-01
            :ARG0 (ii / i)
            :ARG1 (p2 / person
                  :name (n2 / name
                        :op1 ""SandySmithNC""))
            :ARG2 (f2 / fight-01
                  :ARG0 p2
                  :ARG2 (c / country
                        :name (n3 / name
                              :op1 ""America""))))
      :snt3 (p3 / patriot
            :domain (y / you)))"
@SandySmithNC @WendyRogersAZ So stinking funny.😅😅😅,"# ::snt @SandySmithNC @WendyRogersAZ So stinking funny.😅😅😅
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :snt2 (p2 / person
            :name (n2 / name
                  :op1 ""WendyRogersAZ""))
      :snt3 (a / and
            :op1 (s / stinking-01
                  :manner (f / funny-02))
            :op2 (l / laugh-01
                  :manner f)))"
@SandySmithNC Thank you!!! 😊,"# ::snt @SandySmithNC Thank you!!! 😊
(t / thank-01
      :ARG0 (ii / i)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :mode expressive)"
"@SandySmithNC @HollyM_AH I'll be the ruggedly handsome older gentleman there, feel free to say high, (okay maybe I'm not ruggedly handsome, and the gentleman part is questionable, but I am older, so still say hi)","# ::snt @SandySmithNC @HollyM_AH I'll be the ruggedly handsome older gentleman there, feel free to say high, (okay maybe I'm not ruggedly handsome, and the gentleman part is questionable, but I am older, so still say hi)
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC""))
            :ARG3 (p2 / person
                  :name (n2 / name
                        :op1 ""HollyM_AH"")))
      :snt2 (f / feel-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (f2 / free-04
                  :ARG1 y
                  :ARG3 (s2 / say-01
                        :ARG0 y
                        :ARG1 (h / high-02)))
            :ARG1-of (c / cause-01
                  :ARG0 (a / and
                        :op1 (p3 / possible-01
                              :ARG1 (a2 / and
                                    :op1 (h2 / handsome
                                          :polarity -
                                          :domain (ii2 / i)
                                          :mod (r / ruggedly))
                                    :op2 (q / question-03
                                          :ARG1 (p4 / part
                                                :mod (g / gentleman))))
                              :ARG1-of (o / okay-04))
                        :op2 (h3 / have-degree-91
                              :ARG1 ii2
                              :ARG2 (o2 / old)
                              :ARG3 (m2 / more))
                        :concession-of (h4 / have-degree-91
                              :ARG1 ii2
                              :ARG2 (o3 / old)
                              :ARG3 (m3 / more))
                        :ARG0-of (c2 / cause-01
                              :ARG1 (s3 / say-01
                                    :mode imperative
                                    :ARG0 y
                                    :ARG1 (h5 / hi)
                                    :mod (s4 / still)))))))"
@SandySmithNC Hello NO,"# ::snt @SandySmithNC Hello NO
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (h / hello)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
@SandySmithNC @del_vol THANK YOU ♥️🇺🇸♥️🇺🇸♥️🇺🇸,"# ::snt @SandySmithNC @del_vol THANK YOU ♥️🇺🇸♥️🇺🇸♥️🇺🇸
(t / thank-01
      :ARG0 (ii / i)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (o / organization
                        :name (n2 / name
                              :op1 ""del_vol""))))
      :ARG2 (y / you
            :ARG0-of (x / ♥-01
                  :ARG1 (s / string-entity
                        :value ""🇺🇸♥️🇺🇸♥️🇺🇸""))))"
@SandySmithNC Done!,"# ::snt @SandySmithNC Done!
(b / be-done-08
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
"@SandySmithNC No, fuck you","# ::snt @SandySmithNC No, fuck you
(f / fuck-01
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :mod (n2 / no))"
"@SandySmithNC @confusedabout have fun, ill be working","# ::snt @SandySmithNC @confusedabout have fun, ill be working
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (a / and
            :op1 (f / fun-01
                  :mode imperative
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""SandySmithNC"")))
            :op2 (w / work-01
                  :polarity -
                  :ARG0 ii))
      :ARG2 (p2 / person
            :name n
            :op1 ""Confusedabout""))"
@SandySmithNC @joe_warmington No,"# ::snt @SandySmithNC @joe_warmington No
(a / and
      :op1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :op2 (p2 / person
            :name (n2 / name
                  :op1 ""joe_warmington"")))"
@SandySmithNC @songbirdsings5 👏👏👏🇺🇸❤️🙏🙏🙏🙏❤️🇺🇸👏❤️🙏,"# ::snt @SandySmithNC @songbirdsings5 👏👏👏🇺🇸❤️🙏🙏🙏🙏❤️🇺🇸👏❤️🙏
(p / person
      :name (n / name
            :op1 ""SandySmithNC"")
      :medium (p2 / publication
            :name (n2 / name
                  :op1 ""Songbirdsings5"")))"
@SandySmithNC @Actibonnie https://t.co/oC58XaCRvx,"# ::snt @SandySmithNC @Actibonnie https://t.co/oC58XaCRvx
(s / say-01
      :ARG0 (ii / i)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :medium (p2 / publication
            :name (n2 / name
                  :op1 ""Actibonnie"")))"
@SandySmithNC @gbuck_jr Then you will have the support the people!,"# ::snt @SandySmithNC @gbuck_jr Then you will have the support the people!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (h / have-03
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC""))
            :ARG1 (s2 / support-01
                  :ARG0 (p2 / person)
                  :ARG1 p)
            :time (t / then))
      :ARG2 p)"
@SandySmithNC @Kingdom49867884 I don’t care who follows me or who doesn’t. I have to work all week. Thank you for representing.,"# ::snt @SandySmithNC @Kingdom49867884 I don’t care who follows me or who doesn’t. I have to work all week. Thank you for representing.
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (c / care-01
                  :polarity -
                  :ARG0 ii
                  :ARG1 (o / or
                        :op1 (p / person
                              :ARG0-of (f / follow-02
                                    :ARG1 ii))
                        :op2 (p2 / person
                              :ARG0-of (f2 / follow-02
                                    :polarity -
                                    :ARG1 ii))))
            :ARG2 (p3 / person
                  :name (n / name
                        :op1 ""SandySmithNC"")
                  :location (c2 / company
                        :name n
                        :op1 ""Kingdom"")))
      :snt2 (o2 / obligate-01
            :ARG1 (ii2 / i)
            :ARG2 (w / work-01
                  :ARG0 ii2
                  :duration (w2 / week
                        :mod (a / all))))
      :snt3 (t / thank-01
            :ARG0 ii2
            :ARG1 (y / you)
            :ARG2 (r / represent-01
                  :ARG0 y)))"
@SandySmithNC @joe_warmington Get a life!,"# ::snt @SandySmithNC @joe_warmington Get a life!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (g / get-01
            :mode imperative
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC""))
            :ARG1 (l / life))
      :ARG2 (p2 / person
            :name (n2 / name
                  :op1 ""joe_warmington"")))"
"@SandySmithNC Following you, please follow back","# ::snt @SandySmithNC Following you, please follow back
(f / follow-02
      :mode imperative
      :polite +
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG1 (y / you)
      :ARG1-of f
      :ARG0 p)"
@SandySmithNC Yes!,"# ::snt @SandySmithNC Yes!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (y / yes
            :mode expressive)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
@SandySmithNC @joe_warmington Fight on!,"# ::snt @SandySmithNC @joe_warmington Fight on!
(f / fight-on-02
      :mode expressive
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG2 (p2 / person
            :name (n2 / name
                  :op1 ""joe_warmington"")))"
@SandySmithNC See ya there!!!,"# ::snt @SandySmithNC See ya there!!!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (s2 / see-01
            :ARG0 ii
            :ARG1 (y / you)
            :location (t / there))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
"@SandySmithNC @_Sm1ttyjr RT 
FB","# ::snt @SandySmithNC @_Sm1ttyjr RT 
FB
(a / and
      :op1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :op2 (p2 / person
            :name (n2 / name
                  :op1 ""Sm1ttyjr""))
      :op3 (p3 / publication
            :name (n3 / name
                  :op1 ""Facebook"")))"
@SandySmithNC @TWEETIA_MEDIA I'm with you dear,"# ::snt @SandySmithNC @TWEETIA_MEDIA I'm with you dear
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (a / accompany-01
            :ARG0 ii
            :ARG1 (d / dear))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :medium (u / url-entity
            :value ""TWEETIA_MEDIA""))"
@SandySmithNC @KathyVotesRed Done!!!,"# ::snt @SandySmithNC @KathyVotesRed Done!!!
(d / do-02
      :mode expressive
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :ARG2 (p2 / person
            :name (n2 / name
                  :op1 ""KathyVotesRed"")))"
@SandySmithNC @AngelPilotOne Yes I will,"# ::snt @SandySmithNC @AngelPilotOne Yes I will
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (y / yes)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (b / broadcast-program
                        :name (n2 / name
                              :op1 ""AngelPilotOne"")))))"
@SandySmithNC @VetApologist Thank you for standing up!,"# ::snt @SandySmithNC @VetApologist Thank you for standing up!
(t / thank-01
      :ARG0 (ii / i)
      :ARG1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")
            :ARG0-of (h / have-org-role-91
                  :ARG2 (m / meteorologist)))
      :ARG2 (s / stand-up-07
            :ARG1 p))"
@SandySmithNC @YoHolz Done,"# ::snt @SandySmithNC @YoHolz Done
(a / and
      :op1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :op2 (p2 / person
            :name (n2 / name
                  :op1 ""YoHolz""))
      :op3 (d / do-02))"
@SandySmithNC @brimmy03 There. Good luck.,"# ::snt @SandySmithNC @brimmy03 There. Good luck.
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""SandySmithNC""))
            :ARG3 (p2 / person
                  :name (n2 / name
                        :op1 ""brimmy03"")))
      :snt2 (l / luck
            :ARG1-of (g / good-02))
      :snt3 (t / there))"
@SandySmithNC @GODHASAGOODPLAN 👍,"# ::snt @SandySmithNC @GODHASAGOODPLAN 👍
(s / say-01
      :ARG0 (ii / i)
      :ARG2 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :medium (p2 / publication
            :name (n2 / name
                  :op1 ""GODHASAGOODPLAN"")))"
@SandySmithNC Following,"# ::snt @SandySmithNC Following
(f / follow-04
      :ARG0 (p / person
            :name (n / name
                  :op1 ""SandySmithNC"")))"
@SandySmithNC @YoHolz Done and done. 😎,"# ::snt @SandySmithNC @YoHolz Done and done. 😎
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""SandySmithNC""))
      :snt2 (a / and
            :op1 (d / do-02
                  :ARG0 (p2 / person
                        :name (n2 / name
                              :op1 ""YoHolz"")))
            :op2 (d2 / do-02
                  :ARG0 p2)))"
"@SandySmithNC Glad you will be there to represent our state! Wish I could make it! Still waiting for NC to audit our election to show that you won, Cooper lost, and Trump won by a larger margin. #StopTheSteal","# ::snt @SandySmithNC Glad you will be there to represent our state! Wish I could make it! Still waiting for NC to audit our election to show that you won, Cooper lost, and Trump won by a larger margin. #StopTheSteal
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (g / glad-02
                  :ARG0 (r / represent-01
                        :ARG0 (p / person
                              :name (n / name
                                    :op1 ""SandySmithNC""))
                        :ARG1 (s2 / state
                              :poss (w / we))
                        :location (t / there))
                  :ARG1 ii)
            :ARG2 r
            :ARG0 p
            :ARG1 s2)
      :snt2 (w2 / wish-01
            :ARG0 ii
            :ARG1 (p2 / possible-01
                  :ARG1 (m2 / make-it-14
                        :ARG0 ii
                        :ARG1 (ii2 / it))))
      :snt3 (w3 / wait-01
            :ARG1 (ii3 / i)
            :ARG2 (a / audit-01
                  :ARG0 (s3 / state
                        :name (n2 / name
                              :op1 ""NC""))
                  :ARG1 (e / elect-01
                        :ARG0 (w4 / we))
                  :purpose (s4 / show-01
                        :ARG1 (a2 / and
                              :op1 (w5 / win-01
                                    :ARG0 (y / you))
                              :op2 (l / lose-03
                                    :ARG0 (p3 / person
                                          :name (n3 / name
                                                :op1 ""Cooper"")))
                              :op3 (w6 / win-01
                                    :ARG0 (p4 / person
                                          :name (n4 / name
                                                :op1 ""Trump""))
                                    :manner (m3 / margin
                                          :ARG1-of (h / have-degree-91
                                                :ARG2 (l2 / large)
                                                :ARG3 (m4 / more))))))
                  :ARG0-of s4)
            :mod (s5 / still)))"
