comment,amr
"@TimRunsHisMouth @PattiAnn316 Enemy Of The People!!

C Ciaramella
N News 
N Network","# ::snt @TimRunsHisMouth @PattiAnn316 Enemy Of The People!!

C Ciaramella
N News 
N Network
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth"")
      :ARG0-of (h / have-rel-role-91
            :ARG1 (p2 / person
                  :name (n2 / name
                        :op1 ""PattiAnn316""))
            :ARG2 (e / enemy
                  :mod (p3 / person
                        :name (n3 / name
                              :op1 ""The""
                              :op2 ""People"")))))"
@TimRunsHisMouth CNN should run the story that broke today about Ukrainian Oligarchs indicted and implicating Hunter Biden along with American Politicians.,"# ::snt @TimRunsHisMouth CNN should run the story that broke today about Ukrainian Oligarchs indicted and implicating Hunter Biden along with American Politicians.
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (r / recommend-01
            :ARG1 (r2 / run-09
                  :ARG0 (p / publication
                        :name (n / name
                              :op1 ""CNN""))
                  :ARG1 (s2 / story
                        :ARG1-of (b / break-13
                              :time (t / today))
                        :topic (a / and
                              :op1 (ii2 / indict-01
                                    :ARG1 (p2 / person
                                          :ARG0-of (h / have-org-role-91
                                                :ARG1 (c / country
                                                      :name (n2 / name
                                                            :op1 ""Ukraine""))
                                                :ARG2 (o / oligarch))))
                              :op2 (ii3 / implicate-01
                                    :ARG1 (a2 / and
                                          :op1 (p3 / person
                                                :name (n3 / name
                                                      :op1 ""Hunter""
                                                      :op2 ""Biden""))
                                          :op2 (p4 / politician
                                                :mod (c2 / country
                                                      :name (n4 / name
                                                            :op1 ""America"")))))))))
      :ARG2 (p5 / person
            :name (n5 / name
                  :op1 ""TimRunsHisMouth"")))"
"@OmPeaceMom @TimRunsHisMouth @CNN I think they took that down, just like they did the story about kids in cages today.","# ::snt @OmPeaceMom @TimRunsHisMouth @CNN I think they took that down, just like they did the story about kids in cages today.
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (t / think-01
            :ARG0 ii
            :ARG1 (t2 / take-down-22
                  :ARG0 (t3 / they)
                  :ARG1 (t4 / that)
                  :ARG1-of (r / resemble-01
                        :ARG2 (t5 / take-down-22
                              :ARG0 t3
                              :ARG1 (s2 / story
                                    :topic (k / kid
                                          :location (c / cage))
                                    :time (t6 / today)))
                        :mod (j / just))))
      :ARG2 (p / person
            :name (n / name
                  :op1 ""OmPeaceMom"")
            :ARG0-of (h / have-org-role-91
                  :ARG1 (p2 / publication
                        :name (n2 / name
                              :op1 ""CNN"")))))"
@TimRunsHisMouth Let's get this trending though we all know twitter won't allow it!,"# ::snt @TimRunsHisMouth Let's get this trending though we all know twitter won't allow it!
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (g / get-04
            :mode imperative
            :ARG0 (w / we
                  :mod (a / all))
            :ARG1 (s2 / start-01
                  :ARG1 (t / this))
            :concession (k / know-01
                  :ARG0 w
                  :ARG1 (a2 / allow-01
                        :polarity -
                        :ARG0 (p / publication
                              :name (n / name
                                    :op1 ""Twitter""))
                        :ARG1 t)))
      :ARG2 (p2 / person
            :name n
            :op1 ""TimRunsHisMouth""))"
"@TimRunsHisMouth Republicans live off of SOUND NITES and not the FACTS
#TrumpBribery 
#TrumpImpeachment","# ::snt @TimRunsHisMouth Republicans live off of SOUND NITES and not the FACTS
#TrumpBribery 
#TrumpImpeachment
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth"")
      :ARG0-of (h / have-org-role-91
            :ARG1 (p2 / political-party
                  :name (n2 / name
                        :op1 ""Republican"")))
      :ARG0-of (l / live-01
            :location (o / off
                  :op1 (l2 / location
                        :ARG1-of (f / find-01)))
            :ARG1-of (c / contrast-01
                  :ARG2 (f2 / fact
                        :polarity -
                        :domain (a / and
                              :op1 (b / bribe-01
                                    :ARG0 (p3 / person
                                          :name (n3 / name
                                                :op1 ""Trump"")))
                              :op2 (ii / impeach-01
                                    :ARG1 p3))))))"
"@TimRunsHisMouth Trump says ""I want No Quid Pro Quo"" But why say this statement if it was not already part of an original conversation where ""Quid Pro Quo"" was already part of the conversation? hmm... Can't deny what was in a conversation unless you know what the point conversation was...","# ::snt @TimRunsHisMouth Trump says ""I want No Quid Pro Quo"" But why say this statement if it was not already part of an original conversation where ""Quid Pro Quo"" was already part of the conversation? hmm... Can't deny what was in a conversation unless you know what the point conversation was...
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""TimRunsHisMouth""
                        :op2 ""Trump""))
            :ARG1 (w / want-01
                  :polarity -
                  :ARG0 p
                  :ARG1 (t / thing
                        :name (n2 / name
                              :op1 ""Quid""
                              :op2 ""Pro""
                              :op3 ""Quo"")))
            :ARG1-of (c / contrast-01
                  :ARG2 (s2 / say-01
                        :ARG0 p
                        :ARG1 w
                        :ARG1-of (c2 / cause-01
                              :ARG0 (a / amr-unknown))
                        :condition (h / have-part-91
                              :polarity -
                              :ARG1 (c3 / converse-01
                                    :mod (o / original)
                                    :location-of (h2 / have-part-91
                                          :ARG1 (c4 / converse-01)
                                          :ARG2 t
                                          :time (a2 / already)))
                              :ARG2 t))))
      :snt2 (p2 / possible-01
            :polarity -
            :ARG1 (d / deny-01
                  :ARG0 (y / you)
                  :ARG1 (t2 / thing
                        :part-of (c5 / converse-01)))
            :condition (k / know-01
                  :polarity -
                  :ARG0 y
                  :ARG1 (t3 / thing
                        :ARG1-of (p3 / point-03
                              :ARG0 c5)))
            :mod (h3 / hmm
                  :mode expressive)))"
@TimRunsHisMouth #NOFAKENEWS,"# ::snt @TimRunsHisMouth #NOFAKENEWS
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth""))"
@TimRunsHisMouth How is it possible that a global news organization could get it so wrong?,"# ::snt @TimRunsHisMouth How is it possible that a global news organization could get it so wrong?
(a / ask-01
      :ARG0 (ii / i)
      :ARG1 (p / possible-01
            :ARG1 (g / get-02
                  :ARG0 (o / organization
                        :mod (g2 / globe)
                        :mod (n / news))
                  :ARG1 (ii2 / it)
                  :ARG2-of (w / wrong-04
                        :ARG1 o
                        :degree (s / so)))
            :manner (a2 / amr-unknown))
      :ARG2 (p2 / person
            :name (n2 / name
                  :op1 ""TimRunsHisMouth"")))"
@TimRunsHisMouth Stunning.,"# ::snt @TimRunsHisMouth Stunning.
(s / stun-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""TimRunsHisMouth""
                  :op2 ""Stunning"")))"
"@TimRunsHisMouth @LivePDDave1 @cnn and the rest of the opposition media are now completely disbelieved by half the US. What's going to happen when they need to deliver important - and, for once, true - news? They should think hard about that.","# ::snt @TimRunsHisMouth @LivePDDave1 @cnn and the rest of the opposition media are now completely disbelieved by half the US. What's going to happen when they need to deliver important - and, for once, true - news? They should think hard about that.
(m / multi-sentence
      :snt1 (d / disbelieve-01
            :ARG0 (c / country
                  :name (n / name
                        :op1 ""US"")
                  :quant ""1/2"")
            :ARG1 (a / and
                  :op1 (p / person
                        :name (n2 / name
                              :op1 ""TimRunsHisMouth""))
                  :op2 (p2 / person
                        :name (n3 / name
                              :op1 ""LivePDDave1""))
                  :op3 (m2 / media
                        :ARG0-of (o / oppose-01)
                        :mod (r / rest)))
            :ARG1-of (c2 / complete-02)
            :time (n4 / now))
      :snt2 (a2 / amr-unknown
            :time-of (n5 / need-01
                  :ARG0 (t / they)
                  :ARG1 (d2 / deliver-01
                        :ARG0 t
                        :ARG1 (n6 / news
                              :ARG1-of (ii / important-01)
                              :ARG1-of (t2 / true-01
                                    :mod (f / for-once))))))
      :snt3 (r2 / recommend-01
            :ARG1 (t3 / think-01
                  :ARG0 t)
            :ARG1 (h / hard)
            :ARG2 d2))"
"@TimRunsHisMouth Why does this even matter? CNN, Fox or MSNBC aren't on trial here.","# ::snt @TimRunsHisMouth Why does this even matter? CNN, Fox or MSNBC aren't on trial here.
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (m2 / matter-01
                  :ARG1 (t / this)
                  :mod (e / even)
                  :ARG1-of (c / cause-01
                        :ARG0 (a / amr-unknown)))
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""TimRunsHisMouth"")))
      :snt2 (t2 / try-02
            :polarity -
            :ARG1 (o / or
                  :op1 (p2 / publication
                        :name (n2 / name
                              :op1 ""CNN""))
                  :op2 (p3 / publication
                        :name (n3 / name
                              :op1 ""Fox""))
                  :op3 (p4 / publication
                        :name (n4 / name
                              :op1 ""MSNBC"")))
            :location (h / here)))"
@TimRunsHisMouth CBS led the nightly news with the same garbage!,"# ::snt @TimRunsHisMouth CBS led the nightly news with the same garbage!
(l / lead-02
      :ARG0 (b / broadcast-program
            :name (n / name
                  :op1 ""TimRunsHisMouth""
                  :op2 ""CBS""))
      :ARG1 (n2 / news
            :time (d / date-entity
                  :dayperiod (n3 / night)))
      :manner (g / garbage
            :ARG1-of (s / same-01)))"
@BlackIrishI @maanberg @TimRunsHisMouth ongelovelijk dat deze hond een ander antwoord wil dan de waarheid 🤮🤮🤮🤮,"# ::snt @BlackIrishI @maanberg @TimRunsHisMouth ongelovelijk dat deze hond een ander antwoord wil dan de waarheid 🤮🤮🤮🤮
(s / say-01
      :ARG0 (ii / i)
      :ARG1 (a / and
            :op1 (p / person
                  :name (n / name
                        :op1 ""BlackIrishI""))
            :op2 (p2 / person
                  :name (n2 / name
                        :op1 ""maanberg""))
            :op3 (p3 / person
                  :name (n3 / name
                        :op1 ""TimRunsHisMouth"")))
      :ARG2 (p4 / person
            :name (n4 / name
                  :op1 ""TimRunsHisMouth""))
      :location (o / ongelovelijk)
      :topic (a2 / and
            :op1 (h / have-03
                  :ARG0 (d / deze)
                  :ARG1 (a3 / antwoord))
            :op2 (h2 / have-03
                  :ARG0 (a4 / and
                        :op1 p
                        :op2 p3)
                  :ARG1 (v / van
                        :op1 (w / waarheid)))))"
"@tfinefine @TimRunsHisMouth @Danie1607 @CNN If only it could happen. Problem is, half the country has been fed this propaganda for so long that it's now commonplace, and the indoctrination runs very deep. #ExposeCNN; #exposeabc; #RussianHoax; #UkraineHoax; #FoxNews; #FOXNewsRundown; #SchiffClownShow; #PelosiFailsOnUSMCA","# ::snt @tfinefine @TimRunsHisMouth @Danie1607 @CNN If only it could happen. Problem is, half the country has been fed this propaganda for so long that it's now commonplace, and the indoctrination runs very deep. #ExposeCNN; #exposeabc; #RussianHoax; #UkraineHoax; #FoxNews; #FOXNewsRundown; #SchiffClownShow; #PelosiFailsOnUSMCA
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""tfinefine""))
            :ARG3 (p2 / person
                  :name (n2 / name
                        :op1 ""TimRunsHisMouth""))
            :ARG4 (p3 / person
                  :name (n3 / name
                        :op1 ""Danie1607"")
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (p4 / publication
                              :name (n4 / name
                                    :op1 ""CNN"")))))
      :snt2 (a / and
            :op1 (p5 / problem
                  :domain (f / feed-01
                        :ARG1 (p6 / propaganda
                              :mod (t / this))
                        :ARG2 (h2 / half
                              :part-of (c / country))
                        :ARG1-of (l / long-03
                              :ARG2-of (h3 / have-degree-91
                                    :ARG1 f
                                    :ARG3 (s2 / so)
                                    :ARG6 (c2 / commonplace
                                          :domain f
                                          :time (n5 / now))))))
            :op2 (r / run-04
                  :ARG1 (ii2 / indoctrinate-01)
                  :ARG2 (d / deep-02
                        :ARG1 ii2
                        :degree (v / very)))))"
@TimRunsHisMouth https://t.co/tR9oQeeQBy,"# ::snt @TimRunsHisMouth https://t.co/tR9oQeeQBy
(p / person
      :name (n / name
            :op1 ""TimRunsHisMouth""))"
