text_id,text,task_2
hasoc_en_361,The way things are going  @stormzy ‘s line ‘F*ck the government and F*ck Boris’ is more relevant than ever   #BorisJohnsonShouldNotBePM,PRFN
hasoc_en_372,Its a shame when #antimuslim #Islamophobe @realDonaldTrump is attacking @SadiqKhan  @georgegalloway has to behave like this     #istandwithsadiqkhan #WeAllStandTogether ,HATE
hasoc_en_373,@funder Am I the only one who feels like it’s no longer a question of if #TrumpIsATraitor  but rather if Republicans are still Americans ,HATE
hasoc_en_379,@BradKemsley Cheers for the unblock to tweet that    You’re a dickhead as well     #Dickhead,PRFN
hasoc_en_380,'Well  even his “friendly Fox &amp  Friends were on him about what he said originally    he had to backtrack      He is a very dangerous man ' #TrumpIsATraitor #TrumpResignNow #Trump #TrumpFail #TrumpDerangementSyndrome  #TRUMP2020Landside #MAGA #Trump2020 #TrumpTrain #TrumpTrain2020 ,HATE
hasoc_en_385,@stonecold2050 Keeping it all in the fucked up family   #fucktrump  #fuckallthetrumps,PRFN
hasoc_en_390,Because this administration isn’t already doing enough to kill things beautiful and pure to diminish this planet  Fuck you @realDonaldTrump #FuckTrump ,PRFN
hasoc_en_391,@MusiicTown @ShivaniPatel23 @AmaalMallik Change your name to 'Amaal Armaan' fanpage  Begging attention from their school going fans to get RT's and followers lol    Chutiya samajh rakha hai logo ko   #Douchebag,PRFN
hasoc_en_392,@thephotoist Sick motherfuckers  &amp  #FuckTrump,PRFN
hasoc_en_393,If I try to support you  but you just be an ass in return  then fuck you anyways  because I don't like asses regardless of who they are  also #AbolishIce #fuckTrump,PRFN
hasoc_en_394,#Rangzen people  we have to stop this fake activist troll from ruining our #FreeTibet movement      #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen ,HATE
hasoc_en_397,Seriously  can we just get rid of this dumbass already    What does this pos have to do before we impeach his ass and see him off to prison    #FuckTrump #TrumpIsADumbass #NotMyPresident ,PRFN
hasoc_en_398,Proven that @MamataOfficial is in support of terror mob and in favor of changing demography of Bengal  CM is zaddi and same working like Hitler  #DoctorsFightBack #BengalDoctorsStrike #hitlerdidi  #MamataLosingControl #MamataBanarjee #mamtafrustrated ,HATE
hasoc_en_399,#DhoniKeepsTheGlove   #DhoniKeSaathDesh   #IndiaWithDhoni    We need to understand ICC rules correctly    It can only allow terror sponsering countries to play    but not the Army insignia ,HATE
hasoc_en_400,Just watched this guy spray the crap from his curb to the curb of his next door neighbor    #DickHead,PRFN
hasoc_en_401,@MathiasCormann But #LNP have a 'mandate'  #dickhead,PRFN
hasoc_en_402,Holy Sh*t between @LewisHamilton and @MBrundleF1 I don’t know who is the bigger #douchebag #CanadaGP,PRFN
hasoc_en_403,@CNN Disgusting  And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring  This will continue to happen  The Catholic Church needs to go  #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter,HATE
hasoc_en_406,@realDonaldTrump Resign now motherfucker  #IllegitimatePresident #DouchebagDonnie #shitgibbon #pedophile #rapist,PRFN
hasoc_en_407,If that Bengali Jihadi  lu7 catches any illness  no doctor must treat her  She should suffer from non treatment and face consequences  #DoctorsFightBack #DoctorsUnderOppression #DoctorsProtest,HATE
hasoc_en_410,@realDonaldTrump You literally admitted you’d commit a felony to get elected   Barr  if he actually followed the law  would have arrested you   Stop harassing America   PS  We all know Iran is innocent and you are just trying to distract from your latest ,HATE
hasoc_en_416,@BorisJohnson is not a harmless buffoon  he is a cold  calculating  vile man who uses his persona to get away with  his racism  homophobia and elitism  Oh and he’s soon to be our new prime minster  help us all  #BorisJohnsonShouldNotBePM #borisjohnson    ,HATE
hasoc_en_419,@KimKardashian #trump2020 #fucktrump  Maybe you can hire the ex cons to perform with you in your sex tape enterprises     Dog Vomit Trump and his porn star presidency   Horseshit  ,PRFN
hasoc_en_421,@realDonaldTrump I'm 'OK' with it     Christopher Steele was so concerned about what he was finding that he contacted FBI  right      That's what the TRUMP CAMPAIGN &amp  TRUMP FAMILY SHOULD HAVE DONE     #TrumpIsATraitor  #TrumpMustGo,HATE
hasoc_en_422,@Comey I am crushed that no one is calling attention to the lie that @hogangidley45 told about #JamesComey being a convict     See the short clip to confirm that #Trump Administration is lying   #TrumpIsATraitor #TrumpResign #TrumpTantrum #WhiteHouse http,HATE
hasoc_en_423,@TheRealOJ32 You belong in jail and then in hell #murderer #JusticeForNicoleAndRon,HATE
hasoc_en_425,Don't know y no rain in England's match   Does this #WorldCup2019 is fixed   5th match of England but no rain or a drop of water in there games    I think that @ICC and @ECBcricket had fixed the #CWC19 for them    #ShameOnICC   #ENGvWI   #ENGvWI   #TeamIndia   #INDvsPAK,HATE
hasoc_en_426,Fact One  @RoryStewartUK and #BorisJohnson attend Eton and Oxford  #RoryStewart becomes Foreign office Diplomat awarded OBE for services in Afghanistan  #BorisJohnson becomes Times Newspaper Columnist sacked for deception  #roryforleader #BorisJohnsonShouldNotBePM,HATE
hasoc_en_437,Following OJ Simpson would be entertaining but I dont need to follow a murderer sociopath when people like his tweets and he's automatically on my TL  He is crazy  Just saw him rambling about Kloe K  Damn why isn't he locked up #murderer,OFFN
hasoc_en_443,Boris isn't even PM yet but he is already destroying trade with the EU and enriching his friends   We know what type of Boris we will get   Inept  indolent and offensive   a UK Trump without ANY of the economic firepower Nutter   #BorisJohnsonShouldNotBePM #BorisJohnson ,OFFN
hasoc_en_455,@GOP @realDonaldTrump He’s also lied  cheated  committed crimes against America  broken emoluments laws  nepotism  spread his corruption  conspired with Russia  and banked millions of our tax dollars while you dumbf**ks cheer     You have become his accom,OFFN
hasoc_en_458,@brianstelter @OANN I went looking for dickheads this weekend and I found you   #douchebag,PRFN
hasoc_en_500,A lip reader has reported what Trump was saying to #theQueen   'In fact  your Royal Majestyness  Mine has been confirmed by historians to be the biggest dick of all the American presidents  True  the biggest &amp  the best   '  #POTUS #Trump #dickhead #Diplomacy ,PRFN
hasoc_en_505,Fifteen AGs slam Trump move to limit federal authority under Clean Water Act     Trumperrhoids like their swamp deep dirty and toxic   If you are downstream from a Trumperrhoid  fuck off  they don't care     #fucktrump #trump2020,PRFN
hasoc_en_534,Seriously what the fuck is up this his hair line that shit is disgusting I hate this motherfucker #fucktrump #ImpeachTrump #trumparacist #hishairlinesucks ,PRFN
hasoc_en_562,@realDonaldTrump Since @realDonaldTrump is the BIGGEST deadbeat fraud  what he calls a fraud is what the rest of humanity not kiSsing his rectum calls #TheTRUTH  And we ALL know Trump CAN'T HANDLE THE TRUTH  #FuckTrump #ComradeTrump #PutinsPuppet #CadetBo,OFFN
hasoc_en_581,Well I would Rory but my MP is anne marie trevelyan  the opportunistic bitch that is running the fuckwit's campaign   What would you suggest I do now  #BorisJohnsonShouldNotBePM   Some good will come of it though   The tories are finished    ,PRFN
hasoc_en_590,@tonyposnanski @PressSec @realDonaldTrump So well said  I totally agree with every word   The White House is full of corrupt habitual liars   #FuckTrump and his pathetic puppets ,OFFN
hasoc_en_601,@MansoorAli Such a hypocrite and liar you are Mr  Selected PM @ImranKhanPTI   Why don't you accept you failed miserably in past 10 months  Stop crying about past  Show progress or go home  You could not achieve any of your 2018 2019 set goals   #imranha,OFFN
hasoc_en_604,i screamed into the void listening to Maddow this morning and the clips of that asshat saying he would gladly take foreign help  like we don't already know  so yeah  i'm fucking angry too  we're all angry  and we fucking should be      #FuckTrump ,PRFN
hasoc_en_624,AMERICA NEEDS A NEW PRESIDENT ASAP  TRUMP IS A TRAITOR  WILL ONLY GET WORSE  @realdonaldtrump go off and die like an old diseased riddled dog you ARE YOU ABSOLUTE POS #ImpeachTrumpNow #trumpisatraitor #trumpisadisgrace,OFFN
hasoc_en_628,@realDonaldTrump Fuck you   YOU are the reason this bill was delayed for so long  because YOU did not want to give Puerto Rico any more help  #Asshole   #fucktrump #impeach46 #assbanana,PRFN
hasoc_en_636,Tommy is spot on I didn't think he had it in him also fuck off curtis #dickhead #LoveIsland,PRFN
hasoc_en_652,#fucktrump and fuck all his racist supporters too   ,PRFN
hasoc_en_655,@senatemajldr WE HAVE BEEN WAITING FOR @realDonaldTrump IMPEACHMENT    YOU'RE A TRAITOR   TOO     #FUCKTRUMP #AMERICANSFORIMPEACHMENT ,OFFN
hasoc_en_659,What a fucking idiotic thing to do  Threaten proper journalists for supposedly being biased while working for one of the worst disinformation newspapers around  #Dickhead ,PRFN
hasoc_en_677,Just a daily reminder to @realDonaldTrump  that he is a National Disgrace      #TraitorTrump   #TrumpIsADisgrace   #TrumpIsATraitor ,OFFN
hasoc_en_759, @derekobrienmp   Quizmaster    A quiz for you   Ask your moronic boss to solve n behave  @PMOIndia  @timesofindia  #DoctorsFightBack   #Kolkata  @AITCofficial  #India ,PRFN
hasoc_en_792,@UxbEconomist07 @GuidoFawkes @BorisJohnson @Conservatives Remain know he’s bad  he couldn’t win an election  he’s atrocious  Remain Tories trying to hang on to their dwindling influence  #borisorbust #BorisJohnsonShouldNotBePM #borisjohnson #boris,OFFN
hasoc_en_799,@RoArquette I feel the same way   if you support this corruption and cruelty F off forever  #FuckTrump,PRFN
hasoc_en_801,#ToryLeadershipDebate Brexit #Brexit Boris Johnson #borisjohnson #BorisJohnsonShouldNotBePM #Boris    When will Bullshit Boris be allowed to open his mouth and derail his campaign ,PRFN
hasoc_en_821,@ArunSFan @RahulGandhi Moron   Wen u will talk about India   And not restrict u r self to a party   Think beyond party   Think beyond congress   Think for poor people  Think for   Developing India   U #@#@#   #congressmuktbharat,PRFN
hasoc_en_841,@realDonaldTrump She a LIAR JUST LIKE U  U GOING DOWN SHE LEAVING U BE 4 IT HAPPENS #DICKHEAD,OFFN
hasoc_en_845,Why is #fakeDonaldTrump still in a feud with the Mayor of London   Seriously   #idiotTrump is SUCH a petty  disgusting  failure of a human being that he seems to be incapable of letting ANYTHING go   #dumbassTrump #ImpeachTrumpNow,OFFN
hasoc_en_849,This proves that @ImranKhanPTI is the biggest hacker of #TerroristNationPakistan ,OFFN
hasoc_en_868,@IvankaTrump @realDonaldTrump That was the worst day of our lives  The coward has been ruining America ever since   #TrumpIsTheEnemyOfThePeople   #TrumpIsAFraud   #TrumpIsATraitor   #TrumpIsAMoron   #TrumpIsANationalSecurityThreat   #TrumpIsACriminal   #T,OFFN
hasoc_en_869,@GOP @realDonaldTrump Great  I've gotten several tickets to your show  I then wipped my ass with them and burnt them   #fucktrump,PRFN
hasoc_en_922,@toadmeister looking desperately for that attention he craves #fuckoff #shitbag #dickhead  ,PRFN
hasoc_en_944,How does a piece of shit like @TheRealOJ32 have followers  #OJSimpson #MURDERER,PRFN
hasoc_en_948,Listening to #DerangedDonald go off on Germany  bitching about the Iran deal  making shit up about Venezuela  and how he’s always right  How in the living fuck did we get into this mess  #FuckTrump,PRFN
hasoc_en_949,@flyawayk Unbelievable  Our government actually wants you to let people die  I fucking despise trump and the crime syndicate Republican Party  It’s all just sickening  #FuckTrump #FuckTheGOP #onMyThirdBeer,PRFN
hasoc_en_966,@TheRealOJ32 I am so happy to have this opportunity to tell you what a mephitic shitrendous soulless ball sac you are   #MURDERER,PRFN
hasoc_en_972,Totally washed out due to that rain reason  U r fucking guys  y u r keeping this world cup in England     I know It's a developed country   but for sports full of unhappiness  So go and sit in the room and watching Tv that's the only work u r always doing #ShameOnICC mother fuck,PRFN
hasoc_en_974,#WPMOTClassic Some things never change  Repost profthuggy What’s Pissing Me Off Today  Shittiest Person in the World  Jr  #donaldtrumpjr #donnietrump #fucktrump #trophyhunter #trophyhunting #cobrakai  ,OFFN
hasoc_en_989,@GOP IMPEACH DONALD TRUMP     #ITMFA  #ComplicitGOP  #Fucktrump,HATE
hasoc_en_993,Fuck Trump  #fucktrump ,PRFN
hasoc_en_998,#ISupportSarabjeetSingh and yeah #FuckDelhiPolice ,PRFN
hasoc_en_1002,@NatalieJHarp @JoeBiden @realDonaldTrump #FridayFeeling   Blaming Joe Biden   Proves you’re truly #Deplorable   Best of luck   #FuckTrump  #FucktheGOP and #FuckTrumpSupporters   Democrats have a #healthcare plan   Republicans have a #dontcare plan  https ,PRFN
hasoc_en_1005,@saquibIM @sardesairajdeep @msdhoni What rules you are referring  Rules of having namaz in the play ground     We can understand your feeling     #biasedicc #DhoniKeepTheGlove #IndiaStandsWithDhoni #DhoniKeSaathDesh #DhoniKeepsTheGlove #dhonigloves,HATE
hasoc_en_1008,yo  fuuuuuuuuuuuuuuuuuuuuuuuuuuuuck trump   y'all's president is TRASH        #ImpeachTrump   #fucktrump ,PRFN
hasoc_en_1010,Dear ICC  please don't forget that BCCI is your father         So mind on your business        Do better umpiring        #DhoniKeepsTheGlove #DhoniKeepsTheGlove,HATE
hasoc_en_1011,A billion Cricket fans waited four years to watch how it rains in England #shameonicc ,HATE
hasoc_en_1012,This is the man @JamesCleverly @MattHancock @trussliz that you think will make a great #PM for fucks sake  God help us  #BorisJohnsonShouldNotBePM #ToryLeadershipContest    ,PRFN
hasoc_en_1013,@ICC @ICCCAD @BCCI   Poorest management of #CWC19   Need to change venues  Please take a look of geographical  And environmental conditions  Not only on gloves       #ShameOnICC,HATE
hasoc_en_1017,@realDonaldTrump Looks like somebody doesn't understand what Treason is     #TrumpIsATraitor #TrumpTantrum #ImpeachTrumpNow,HATE
hasoc_en_1018,#RacistTrump Retweets #AntiMuslim Extremist &amp  Gets Exactly What He Deserves #TrumpIsATraitor  ,HATE
hasoc_en_1019,Because dictators love stupid populations  right #TrumpTrain      #TrumpIsATraitor     ,HATE
hasoc_en_1020,No less than he deserves     Boris Johnson  or Boorish Johnson as I call him  is unfit to be our next Prime Minister      #ToryLeadershipContest #C4Debate #LobbyHustings #BorisJohnsonShouldNotBePM #BorisIsChicken ,HATE
hasoc_en_1021,Labour MP Wes Streeting listed on Twitter the various occasion Boris Johnson made fantasy claims  broke promises and launched expensive ‘vanity projects’ as Mayor of London  Time to fact check Boris Johnson’s mayoralty   #BorisJohnsonShouldNotBePM  ,HATE
hasoc_en_1023,So basically @BorisJohnson does not tell the truth  Not only does he not tell the truth  he made promises that he came nowhere close to delivering and does not seem to care  What is his motivation  It is unlikely to be your welfare  #BorisJohnsonShouldNotBePM ,HATE
hasoc_en_1025,@Newsweek Uh   No   #FuckTrump  He thought he'd make it big  he had no intention of losing any money and if he has  it was because he exposed himself as the conman most of us knew he is  These two assholes are either conned or are conmen themselves ,PRFN
hasoc_en_1030,#FuckTrump  ANOTHER ONERY DEM      ,PRFN
hasoc_en_1034,@ICC @MRFWorldwide This world cup 19 should be ban     Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19    #ShameOnICC ,PRFN
hasoc_en_1035,#Progressive Group Wants Dems to #Investigate Kavanaugh for #Perjury    #GangRapes #ChristineBlaseyFord #BrettKavanaugh #Rape #Rapist #BrettKavanaughRapist    ,HATE
hasoc_en_1036,@flotus would be better off with this   @orgasmicize #pornhub #firstladydoesdallas #freeblowjobs #fucktrump #classy #resist #TrumpTantrum #JackieO #lookmomnohands #skillsandthrills #voteblue #deepthroatchampion #Disneyland ,PRFN
hasoc_en_1038,Farewell #SarahHuckabeeSanders  Your lies for the asshole POTUS Will NEVER be missed  #GladYourGone #FuckTrump,PRFN
hasoc_en_1042,@PaulSaucier9 @lamousie187ss13 @IvankaTrump #TrumpIsATraitor sick f**ks,PRFN
hasoc_en_1045,@realDonaldTrump happy birthday you racist dumbass    I’m having tacos for lunch in your honor  And here’s a picture of your favorite senator  #TrumpIsATraitor #trumpsucks ,HATE
hasoc_en_1046,@HenriettaHumpl1 That's really clever   Have you ever thought of writing something #dickhead #auspol,PRFN
hasoc_en_1047,Yesterday  Congress   blood donations are necessary blah blah blah   Today   Congress   snubbed on injustice on doctors in wb   Shame on u so called national opposition   #Thuuuuuuu #Congress #WestBengal #DoctorsFightBack #DoctorsProtest   #SoniaGandhi #RahulGandhi #priyankagandhi,HATE
hasoc_en_1050,#DICKHEAD SHOULD JUST FUCK KIM JONG UN ALREADY &amp  GET IT OFF HIS CHEST   ,PRFN
hasoc_en_1054,When you really like a certain celebrity and then they come out as an #antivaxxer ‍♀️ How embarrassing @JessicaBiel #dickhead,PRFN
hasoc_en_1055,@HMOIndia  @AmitShahOffice     @BCCI should be brought under GoI control  Full of corrupt  compromised cowards who for the sake of money always letting us patriots down  Failed to take @ICC head on in this matter of national pride  Shame    #DhoniKeepsThe,HATE
hasoc_en_1057,NO SHIT  SHERLOCK  #FuckfaceVonClownstick wants impeachment     it’s more attention and he can play “poor me   #FuckTrump ,PRFN
hasoc_en_1059,This is the day that reminds the world that @realDonaldTrump should have been aborted  #FuckTrump and while I’m at it #Fuck @FLOTUS for being a whore that fucks this piece of after birth abortion,PRFN
hasoc_en_1061,Sit his ass down   Tape his fingers and duct tape his mouth   Then throw him in a cage with the immigrants   Problem solved   Such a vision   America  Free of Trump   Darn  I just woke up   Dems will do nothing   #FuckTrump #FuckGOP #FuckCivility #ImpeachmentInquiryNow ,PRFN
hasoc_en_1062,@BJP4India @narendramodi Oye     Islamic Cricket Council aka ICC ban this thing too  watch video      Also stop eating lays chips all the time  do some constructive work     #CWC19 #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #dhonigloves #ICC,HATE
hasoc_en_1063,I love you #London     Thank you for your support    #FuckTrump #TrumpVaginaNeck #ImpeachTheMotherFucker ,PRFN
hasoc_en_1068,Rallies will be held across #US tomorrow for #impeachment of @realdonaldtrump  Check local #grassroots for details  Prove that we do not tolerate the hatred that has crippled this country #impeachtrump #impeach45 #fucktrump #notmypresident #collusion #traitor #criminal ,OFFN
hasoc_en_1072,@nycsouthpaw @gtconway3d This is a standard process for all dictators to remove the free press from society  No doubt @realDonaldTrump got this from the only book he has read  'Mein Kampf'   #TrumpIsATraitor   #TrumpIsTheEnemyOfThePeople   #TrumpIsACrimin,OFFN
hasoc_en_1078,#HappyBirthdayMrPresident   Nope  GO FUCK YOURSELF is more like it      #fucktrump,PRFN
hasoc_en_1083,#TraitorTrump just flat out admitted he’s a #RussianAsset    #TrumpIsATraitor,OFFN
hasoc_en_1087,#Icc can support a terrorist country #Pakistan to participate in wc tournament but they refushed a true country lover #Dhoni sir to wear his 'Balidaan' sign gloves   #shameonyouicc   #DhoniKeepsTheGlove   #DhoniKeSaathDesh   #DhoniKeepBalidaanBadgeGlove,HATE
hasoc_en_1107,@MamataOfficial is really lost her mind n plot completely   She has cross psychic levels to satisfy the minority as what she feels can keep her in power but sadly not       #DoctorsFightBack  #BengalBurning  #SaveBengalFromTMC    @ZeeNews  @sudhirchau,OFFN
hasoc_en_1112,@TheRealOJ32 I know quite a few people who would like to 'get even' with you #MURDERER You did it  you admitted it  and you deserve to rot ,HATE
hasoc_en_1116,This is why i love this motherfucker       Shuts people down easily    #ArabForPresident  #FuckTrump ,PRFN
hasoc_en_1117,He said it again  No Collusion  No obstruction  What innocent person would do that  He's guilty as sin  I'm sick over nobody doing anything about having a TRAITOR in our White House  #fucktrump ,OFFN
hasoc_en_1122,From a known liar and #FakeNewsCNN contributor  Great work Slimewell  great work  #DoucheBag #EnemyOfThePeople ,OFFN
hasoc_en_1132,@RepAndyHarrisMD @POTUS Let’s not forget        Today is #JohnMCainDay which is infinitely more celebratory than the birthday of a pathological lying corrupt criminal traitor     #TrumpIsATraitor   #TrumpIsACriminal   #TrumpIsAMoron   #TrumpIsANationalSec,OFFN
hasoc_en_1139,Imagine wishing a traitor bigot a happy Birthday    guess inbred trailer Trash needs a hobby too    #TrumpIsATraitor ,OFFN
hasoc_en_1160,Either rain or  one sided games  This World Cup sucks big fucking time  @ICC @cricketworldcup #ShameOnICC #RainStopsMatch #ENGvsWI #CWC #INDvNZ #WorldCup,PRFN
hasoc_en_1168,This is very dangerous    Can we finally lock him up for sedition now  At the very best  for not protecting the constitution of the United States  At the worst  he is a traitorous Russian agent   #DumpTrump  #ScumOfTheEarth   #TraitorousRussia  #TrumpIsATraitor  ,OFFN
hasoc_en_1173,Wow this fucktard really just said that he wouldn't have allowed Kim Jung Un's haha brother cooperate with the #CIA under his presidency #WTF #FuckTrump #BeScared ,PRFN
hasoc_en_1180,@MyloMegha Here everyone supports doctors &amp  mamta get slap on her face which has oozing with arrogance    You can say   SLAP  OF THE CENTUARY     #DoctorsFightBack,HATE
