comment,amr
Why don't you go online and book a slot for yourself and your family if eligible for Vaccination.Posting on Tweeter will not help you in any way,"# ::snt Why don't you go online and book a slot for yourself and your family if eligible for Vaccination.Posting on Tweeter will not help you in any way
(m / multi-sentence
      :snt1 (c / cause-01
            :ARG0 (a / amr-unknown)
            :ARG1 (a2 / and
                  :polarity -
                  :op1 (g / go-02
                        :ARG0 (y / you)
                        :ARG4 (o / online))
                  :op2 (b / book-03
                        :ARG0 y
                        :ARG1 (s / slot)
                        :beneficiary (a3 / and
                              :op1 y
                              :op2 (f / family
                                    :ARG1-of (h / have-org-role-91
                                          :ARG0 y
                                          :ARG2 (m2 / member))))
                        :condition (q / qualify-02
                              :ARG1 y
                              :ARG2 (v / vaccinate-01
                                    :ARG1 y)))))
      :snt2 (h2 / help-01
            :polarity -
            :ARG0 (p / post-01
                  :ARG0 (y2 / you)
                  :ARG2 (p2 / publication
                        :name (n / name
                              :op1 ""Twitter"")))
            :ARG2 y2
            :manner (a4 / any)))"
", vaccine","# ::snt , vaccine
(v / vaccine)"
,"# ::snt 
(a / amr-empty)"
Wahi h jaha apne hoard karke rakhi h,"# ::snt Wahi h jaha apne hoard karke rakhi h
(a / and
      :op1 (w / wahi
            :mode expressive)
      :op2 (h / haha
            :mode expressive)
      :op3 (h2 / hoard-01
            :mode imperative
            :ARG0 (y / you))
      :op4 (r / rakhi))"
Manish sisodiya se pooch kar likh rahe h ya apna dimaag lagaya h iss tweet mei,"# ::snt Manish sisodiya se pooch kar likh rahe h ya apna dimaag lagaya h iss tweet mei
(a / and
      :op1 (p / pooch
            :domain (p2 / person
                  :name (n / name
                        :op1 ""Manish""
                        :op2 ""Sisodiya"")))
      :op2 (l / likh
            :domain p2)
      :op3 (h / hmm
            :domain (y / you))
      :op4 (d / dimaag
            :domain (l2 / lagaya))
      :op5 (t / tweet-02
            :mode imperative
            :ARG0 y
            :ARG1 (ii / i)))"
"Over crores of people already vaxxed in India...fastest in this world, wait for your turn as we are population of about crores.","# ::snt Over crores of people already vaxxed in India...fastest in this world, wait for your turn as we are population of about crores.
(a / and
      :op1 (v / vaxx-00
            :ARG0 (p / person
                  :quant (o / over
                        :op1 (c / crores)))
            :time (a2 / already)
            :location (c2 / country
                  :name (n / name
                        :op1 ""India"")))
      :op2 (f / fast-02
            :ARG2-of (h / have-degree-91
                  :ARG3 (m / most)
                  :ARG5 (w / world
                        :mod (t / this)))
            :ARG1-of h)
      :op3 (w2 / wait-01
            :ARG1 (y / you)
            :ARG2 (t2 / turn-01
                  :ARG0 y)
            :ARG1-of (c3 / cause-01
                  :ARG0 (p2 / populate-01
                        :ARG1 (w3 / we)
                        :ARG2 (a3 / about
                              :op1 (c4 / crores))))))"
Raste me hai vaccine aa rahi hai...abhi tak puri duniya k bachon ko nahi mili hai. Pehla tika Rahul Gandhi k Bacho ko hi lagega,"# ::snt Raste me hai vaccine aa rahi hai...abhi tak puri duniya k bachon ko nahi mili hai. Pehla tika Rahul Gandhi k Bacho ko hi lagega
(m / multi-sentence
      :snt1 (a / aste-00
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (v / vaccine)
            :ARG3 (ii / i)
            :mod (r / raste-01
                  :mode imperative
                  :ARG0 y
                  :ARG1 v
                  :mod (h / hai)))
      :snt2 (a2 / and
            :op1 (t / tak
                  :mod (b / bachon))
            :op2 (b2 / bachon
                  :mod (n / nahi
                        :mod (m2 / mili
                              :mod (h2 / hai))))
            :op3 (b3 / bacho
                  :mod (n2 / nahi)
                  :mod (h3 / hai)))
      :snt3 (p / person
            :name (n3 / name
                  :op1 ""Pehla"")
            :mod (t2 / tika)
            :mod (p2 / person
                  :name (n4 / name
                        :op1 ""Rahman""
                        :op2 ""Gandhi"")))
      :snt4 (p3 / person
            :name (n5 / name
                  :op1 ""Bacho""
                  :op2 ""Ko"")
            :mod (h4 / hi
                  :mod (l / lagega))))"
,"# ::snt 
(a / amr-empty)"
foreign me hai,"# ::snt foreign me hai
(f / foreign
      :domain (ii / i))"
"World ke kisi county ne nahi banai abhi bachho ki vaccine, aalu wale scientist sayad mana de","# ::snt World ke kisi county ne nahi banai abhi bachho ki vaccine, aalu wale scientist sayad mana de
(m / multi-sentence
      :snt1 (a / and
            :op1 (w / world
                  :mod (k / kisi)
                  :mod (c / county))
            :op2 (b / banai
                  :mod (a2 / abhi
                        :mod (b2 / bachho
                              :mod (v / vaccine))))
            :snt2 (s / sayad
                  :name (n / name
                        :op1 ""Mana"")
                  :mod (s2 / scientist))
            :mod (w2 / wale)))"
Allu ki Factry main,"# ::snt Allu ki Factry main
(m / main
      :mod (a / allu
            :mode expressive)
      :mod (b / broadcast-program
            :name (n / name
                  :op1 ""Factry"")))"
Which company has made vaccines. Age between to years.,"# ::snt Which company has made vaccines. Age between to years.
(m / multi-sentence
      :snt1 (m2 / make-01
            :ARG0 (c / company)
            :ARG1 (v / vaccine))
      :snt2 (a / age-01
            :ARG2 (b / between
                  :op1 (t / temporal-quantity
                        :quant 1
                        :unit (y / year))
                  :op2 (t2 / temporal-quantity
                        :quant 1
                        :unit (y2 / year)))))"
Have you registered?,"# ::snt Have you registered?
(r / register-02
      :polarity (a / amr-unknown)
      :ARG0 (y / you))"
Pappu mutra laga le,"# ::snt Pappu mutra laga le
(a / amr-unintelligible
      :value ""Pappu mutra laga le"")"
"Air the trial for kids vaccination is on. Please dont force your daughter to have the vaccination. Once clinical trial is done, then only think of vaccinating your daughter.","# ::snt Air the trial for kids vaccination is on. Please dont force your daughter to have the vaccination. Once clinical trial is done, then only think of vaccinating your daughter.
(m / multi-sentence
      :snt1 (a / air-01
            :ARG1 (t / try-02
                  :ARG1 (v / vaccinate-01
                        :ARG1 (k / kid))))
      :snt2 (f / force-01
            :polarity -
            :mode imperative
            :polite +
            :ARG0 (y / you)
            :ARG1 (p / person
                  :ARG0-of (h / have-rel-role-91
                        :ARG1 y
                        :ARG2 (d / daughter)))
            :ARG2 (v2 / vaccinate-01
                  :ARG1 p))
      :snt3 (t2 / think-01
            :mode imperative
            :ARG0 (y2 / you)
            :ARG1 (v3 / vaccinate-01
                  :ARG1 p)
            :mod (o / only)
            :time (o2 / once
                  :op1 (b / be-done-08
                        :ARG1 t
                        :mod (c / clinic)))))"
,"# ::snt 
(a / amr-empty)"
Chill old man Within two months we will haven plenty for all of us even the lil girl in the picture.Surely you can bark till then but this shortage is going to stay forever,"# ::snt Chill old man Within two months we will haven plenty for all of us even the lil girl in the picture.Surely you can bark till then but this shortage is going to stay forever
(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (c / chill-01
                  :mode imperative
                  :ARG0 (m2 / man))
            :ARG2 m2)
      :snt2 (h / have-03
            :ARG0 (w / we
                  :mod (a / all))
            :ARG1 (p / plenty)
            :beneficiary (g / girl
                  :mod (l / little)
                  :location (p2 / picture)
                  :mod (e / even))
            :time (a2 / after
                  :op1 (n / now)
                  :quant (u / up-to
                        :op1 (t / temporal-quantity
                              :quant 2
                              :unit (m3 / month))))
            :ARG1-of (s2 / sure-02)
            :concession (p3 / possible-01
                  :ARG1 (b / bark-01
                        :ARG0 (y / you)
                        :time (t2 / till
                              :op1 n))
                  :ARG1-of (c2 / contrast-01
                        :ARG2 (s3 / stay-01
                              :ARG1 (s4 / short-06
                                    :mod (t3 / this))
                              :duration (f / forever))))))"
Its for Indian only.,"# ::snt Its for Indian only.
(b / benefit-01
      :ARG0 (ii / it)
      :ARG1 (p / person
            :mod (c / country
                  :name (n / name
                        :op1 ""India"")))
      :mod (o / only))"
Don't divert the issue and fool common man.,"# ::snt Don't divert the issue and fool common man.
(a / and
      :op1 (d / divert-01
            :polarity -
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (ii / issue-02))
      :op2 (f / fool-01
            :mode imperative
            :polarity -
            :ARG0 y
            :ARG1 (m / man
                  :mod (c / common))))"
Toolkit in action!!!,"# ::snt Toolkit in action!!!
(t / toolkit
      :ARG1-of (a / act-02))"
Tu Bana le scientist.. roka kisne hai,"# ::snt Tu Bana le scientist.. roka kisne hai
(m / multi-sentence
      :snt1 (b / bana
            :mode expressive
            :mod (s / scientist))
      :snt2 (k / kisne
            :mode expressive)
      :snt3 (h / hai
            :mod (r / roka)))"
",","# ::snt ,
(a / amr-empty)"
"There is no any vaccine for childrens then why are you using your Baby Pic for politics, wait till December you will also vaccinated.","# ::snt There is no any vaccine for childrens then why are you using your Baby Pic for politics, wait till December you will also vaccinated.
(a / and
      :op1 (v / vaccine
            :polarity -
            :beneficiary (c / child)
            :mod (a2 / any)
            :ARG1-of (c2 / cause-01
                  :ARG0 (a3 / amr-unknown)))
      :op2 (u / use-01
            :ARG0 (y / you)
            :ARG1 (p / product
                  :name (n / name
                        :op1 ""Baby""
                        :op2 ""Pic"")
                  :poss y)
            :ARG2 (p2 / politics)
            :ARG1-of (c3 / cause-01
                  :ARG0 (a4 / amr-unknown)))
      :op3 (v2 / vaccinate-01
            :ARG1 y
            :mod (a5 / also)
            :condition (w / wait-01
                  :ARG1 y
                  :time (u2 / until
                        :op1 (d / date-entity
                              :month 12)))))"
"Aap and Rahulna,most disgusting virus of India,similar to corona.killing silently.People die as they do not understand how dangerous it is.RaGa nAAP r dangerous for India and still few crores do not know it. Due to him congress is on the verge of extinction. Soon AAP will follow","# ::snt Aap and Rahulna,most disgusting virus of India,similar to corona.killing silently.People die as they do not understand how dangerous it is.RaGa nAAP r dangerous for India and still few crores do not know it. Due to him congress is on the verge of extinction. Soon AAP will follow
(m / multi-sentence
      :snt1 (a / and
            :op1 (v / virus
                  :name (n / name
                        :op1 ""Aap""))
            :op2 (v2 / virus
                  :name (n2 / name
                        :op1 ""Rahmanna""))
            :ARG1-of (h / have-degree-91
                  :ARG2 (d / disgust-01
                        :ARG0 v2)
                  :ARG3 (m2 / most)
                  :ARG5 (v3 / virus
                        :location (c / country
                              :name (n3 / name
                                    :op1 ""India"")))))
      :snt2 (k / kill-01
            :manner (s / silent))
      :snt3 (d2 / die-01
            :ARG1 (p / person)
            :ARG1-of (c2 / cause-01
                  :ARG0 (u / understand-01
                        :polarity -
                        :ARG0 p
                        :ARG1 (e / endanger-01
                              :ARG0 (ii / it)
                              :degree (s2 / so)))))
      :snt4 (a2 / and
            :op1 (e2 / endanger-01
                  :ARG0 (p2 / political-movement
                        :name (n4 / name
                              :op1 ""RaGa""))
                  :ARG1 c
                  :name (n5 / name
                        :op1 ""India"")))
      :op2 (k2 / know-01
            :polarity -
            :ARG0 (p3 / person
                  :quant (f / few
                        :mod (s3 / still)))
            :ARG1 ii)
      :snt5 (c3 / cause-01
            :ARG0 (h2 / he)
            :ARG1 (v4 / verge-01
                  :ARG1 (g / government-organization
                        :name (n6 / name
                              :op1 ""Congress""))
                  :ARG2 (e3 / extinct)))
      :snt6 (f2 / follow-01
            :ARG1 (p4 / publication
                  :name (n7 / name
                        :op1 ""AAP""))
            :time (s4 / soon)))"
Bhai twitter pe nhi milegi...cowin pe milegi...mene lagwa li h tum bhi lagwa lo......,"# ::snt Bhai twitter pe nhi milegi...cowin pe milegi...mene lagwa li h tum bhi lagwa lo......
(a / and
      :op1 (p / publication
            :name (n / name
                  :op1 ""Twitter"")
            :ARG1-of (m / mean-01
                  :ARG2 (p2 / person
                        :name (n2 / name
                              :op1 ""Bhai""
                              :op2 ""Bhai""))))
      :op2 (h / have-polarity-91
            :ARG2 -
            :op3-of a)
      :ARG2 -
      :ARG1 p2
      :name (n3 / name
            :op1 ""cowin"")
      :ARG2 -
      :op4 h
      :ARG1 (l / laugh-01
            :ARG0 p2)
      :ARG2 -
      :op5 h
      :ARG1 (l2 / laugh-01
            :ARG0 p2)
      :ARG2 -
      :op6 h
      :ARG1 (l3 / laugh-01
            :ARG0 p2)
      :ARG2 -
      :op7 h
      :ARG1 l3
      :ARG2 -)"
Vaccine vaccination centre par milegi first register then wait ur turn like people of other countries did and doing in Europian countries..,"# ::snt Vaccine vaccination centre par milegi first register then wait ur turn like people of other countries did and doing in Europian countries..
(a / and
      :op1 (r / register-02
            :ord (o / ordinal-entity
                  :value 1)
            :location (c / center
                  :topic (v / vaccinate-01
                        :ARG2 (v2 / virus))
                  :location (c2 / city
                        :name (n / name
                              :op1 ""Par""
                              :op2 ""Mile""
                              :op3 ""Gi""))))
      :op2 (w / wait-01
            :ARG1 (y / you)
            :ARG2 (t / turn-01
                  :ARG0 y)
            :ARG1-of (r2 / resemble-01
                  :ARG2 (a2 / and
                        :op1 (d / do-02
                              :ARG0 (p / person
                                    :location (c3 / country
                                          :mod (o2 / other)))
                              :ARG1 t)
                        :op2 (d2 / do-02
                              :ARG0 p
                              :location (c4 / country
                                    :location (c5 / continent
                                          :name (n2 / name
                                                :op1 ""Europe""))))))))"
vaccine abi aaya khan hai baccho ka,"# ::snt vaccine abi aaya khan hai baccho ka
(a / and
      :op1 (v / vaccine
            :name (n / name
                  :op1 ""Vaccine"")
            :ARG1-of (a2 / abi-aya))
      :op2 (v2 / vaccine
            :ARG1-of (a3 / abi-aya))
      :op3 (b / baccho
            :ARG1-of (c / come-01)
            :ARG1-of (s / say-01
                  :ARG0 (ii / i))))"
",","# ::snt ,
(a / amr-empty)"
Teri gaa..d main chutiye,"# ::snt Teri gaa..d main chutiye
(m / multi-sentence
      :snt1 (p / person
            :name (n / name
                  :op1 ""Teri""
                  :op2 ""Gaa""))
      :snt2 (c / chutiye
            :mod (m2 / main)))"
How can you use an unknown child's pic to spread ur fake narritive?,"# ::snt How can you use an unknown child's pic to spread ur fake narritive?
(p / possible-01
      :ARG1 (u / use-01
            :ARG0 (y / you)
            :ARG1 (p2 / picture
                  :poss (c / child
                        :ARG1-of (k / know-01
                              :polarity -)))
            :ARG2 (s / spread-03
                  :ARG0 y
                  :ARG1 (n / nasty
                        :ARG1-of (f / fake-02)
                        :domain y)))
      :manner (a / amr-unknown))"
"IF you ask such questions they will fabricate one more toolkit.. in the next toolkit they will mention modi as mass murderer, Amitshah as Tadipaar","# ::snt IF you ask such questions they will fabricate one more toolkit.. in the next toolkit they will mention modi as mass murderer, Amitshah as Tadipaar
(a / and
      :op1 (f / fabricate-01
            :ARG0 (t / they)
            :ARG1 (t2 / toolkit
                  :quant 1
                  :mod (m / more))
            :condition (a2 / ask-01
                  :ARG0 (y / you)
                  :ARG1 (q / question
                        :mod (s / such))))
      :op2 (m2 / mention-01
            :ARG0 t
            :ARG1 (a3 / and
                  :op1 (p / person
                        :name (n / name
                              :op1 ""Modi"")
                        :ARG0-of (m3 / murder-01
                              :mod (m4 / mass)))
                  :op2 (p2 / person
                        :name (n2 / name
                              :op1 ""Amitshah"")
                        :ARG0-of (n3 / name-01
                              :ARG1 (p3 / person
                                    :name (n4 / name
                                          :op1 ""Tadipaar"")))))
            :location (t3 / toolkit
                  :mod (n5 / next))))"
Abhi + se niche ka trial hona hai apne bachche ko volunteer bnayega unkil,"# ::snt Abhi + se niche ka trial hona hai apne bachche ko volunteer bnayega unkil
(m / multi-sentence
      :snt1 (a / and
            :op1 (p / person
                  :name (n / name
                        :op1 ""Abhi""))
            :op2 (p2 / person
                  :name (n2 / name
                        :op1 ""S niche""))
            :op3 (t / try-02))
      :snt2 (h / hmm
            :mode expressive
            :ARG1-of (c / cause-01
                  :ARG0 (e / event
                        :name (n3 / name
                              :op1 ""Try""))))
      :snt3 (v / volunteer-01
            :mode imperative
            :ARG0 (y / you)
            :location (b / bnayega
                  :mod (u / unkil))))"
Modi sold it beta,"# ::snt Modi sold it beta
(s / sell-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Modi""))
      :ARG1 (ii / it)
      :mod (b / beta))"
Italy wali bai kha gayi,"# ::snt Italy wali bai kha gayi
(m / multi-sentence
      :snt1 (c / country
            :name (n / name
                  :op1 ""Italy""))
      :snt2 (b / bai-kha
            :mode expressive))"
Tere pichwade me........,"# ::snt Tere pichwade me........
(p / pichwade-01
      :ARG0 (y / you)
      :ARG1 (ii / i))"
