id,twitter_id,text,comments,labels
hasoc_10,1398268991756390403,?,::Sudhir Chaudhary is corona positive::,NONE
hasoc_11,1386402541357858816,"Thank you, President Biden! They truly need our help.",No need of this fucking nation,NONE
hasoc_12,1386187343212605443,I think no! He knows those that are dead cant vote! Whats the point?,Are be positive. There may be election in upper house also where soon we are joining.,NONE
hasoc_13,1385529637225127942,"Don't praise Kejriwal so much, he is also the same the only difference is that he is more educated.",Educated version of Modi,NONE
hasoc_14,1394531196009205764,"Modi strain is very respectful name. Modi square, Modi Tower, Modi Nagar and now Modi strain. It has great chance to become international also. So you people should rejoice this feat of Modi ji",ITS CONGI CROOKED GANDHI STRAIN........promoted by thugs of Punjab.,HOF
hasoc_15,1395659389881651203,The answer is same for you ---Government is working,"If youve seen trends that there is going to be a situation where all will fall sick several months in advance and have the means to be prepared to do something, then you do take care of it. And also, in your flawed analogy, Modi is the head of the family, not the architect.",NONE
hasoc_16,1395768553190604804,for all bloody brahmins listen,"Bhai hum mayawati ke supporter hai video pura dekhe::Bolne ki jarurat nahi hai lag rahe ho, quki bhasha ka chayan hi aisa hai.::% % ,::Aao dikhata tuze mandir ki bhikari::Aaj agar neela narangi krte rahe. To na hi neela bchega na hi narangi. Dono murkh hai::HAAN Bhai...Brahmon ko bhi nikal do desh se...khair, hum pakistan-bangladesh to nahi ja sakte..Nepal chale jayenge.Paap kiya tha..iss lye % wala brahmin ghar mai paida hua hun::Agar jati ke aadhar par dekho to sabse jayada Brahman % rajput % haiJaishe swarn ko tod ke dekhte ho ushi trah dalit ko tod ke dekho chhamar % aadivashi % mushhar %Phir bhi tumlog aapne aap ko kam dekhte ho::Without Satish Chandra Mishra...she is nothing....Dekh liya UP mein....chal::This shows how much hatred u r carrying forward...If something was bad in the earlier society what u r doing is just a revival of the same bad legacy,come on dud be a mature n Be vocal for injustice be it Brahmin,shudra ,dalits or whoever....::Sabse zyada injustice higher caste ke hi failate hai::,, ,,::Teri kya aukat hai Mandir ke bhik khane wale bhikari avlad::Swarna madarchod hai rahege::::Nakalachi ko nirmata bolna chutiyapa hai... Aur aisa chutiyapa vishesh log hi kr sakte hai..::Tre jesai chutiyo ki wajhea sai fir futt pad tee h bhs*k or ye dp hata le warna fir ek bori chawal feku ga sb bhul jye ga dharam hi badal le ga::::Chup madarchod::Good going guyz apas me hi Ladd maro kaha kisi bahar ki taakat ki zarurat hai lekin yaad rakho jis din desh pe khatra aega uss din tum sabb ek hi taule jaoge na neela na narangi bass Hindustani hi bulae jaoge! Dimaag lagao thoda::() (/) CEO SII () () ?::...::Itni nafrat leke kaun se lok jaoge bhai? Hum bole to casteism aur tum bolo to haq, wah bhaiya wht the fak::Abe tum brahmins ko gali de rahe ho or apne aap ko peedhit Bata rahe ho chutiye ho Kya::Abhe Bosdike puri video daal maderchod",HOF
hasoc_17,1392758234113462273,"? ,",Faridabad se KIRAYE OE LIYA....G......D M.....RE::Tu apne ye sabut leke court kyu nahi jata..,HOF
hasoc_18,1398278552701718534,"ZEE ..... DNA ,","Wahh abhi se bachoko desh bhakti sikha rahe ho::, ....::Baccho ko dna na dhikhaya karo. Ye zeher bharta hai dimag mai::DNA::Bhai apne baccho ko dur rakho is news channel se. Sirf propaganda failane ka kam karta hai ye tihadi. Aap dekh sakte he DNA.::DNA ? POCSO::Shudhir ji ne he iss desh ko bataya tha ki ke note me chip lagi hai, jo feet neeche bhi currency ko income tax department ko connect kar sakti hai. Bache aise Gyani mahapurush ko dekhte hai. Bhavishya khatam hai::Chal jhootha .. kitna paisa liya hai bey::Kyon bachchon ko bigad rahe ho uncle. Bachakar rakha karo Tihari aur uske nafrati and factless mansoobo se...Bachchon ko aashish::Aap bhagwan aisa v kah sakte hai ki mari jaan le le par sudhir Chaudhary ko zindagi de de bhagwan....hadh hai yaar chaplusi ki::Bhai pls do not give your lovely children these types of wrong awareness....these false news will affect them in their future growth...!!!!::What's this man ?Bachcho k dilo mei bachpan se hi nafrat gholna suru kar diye Sharam karo kuchh",NONE
hasoc_19,1395655501333995522,Pehle dukane khulwao abdul ki,Aaj toh kholi h na toone dukaan ..jaldi puncture lagade yarr,NONE
hasoc_20,1397157849608847360,Sometimes i feel ki ye vote deke galti kardi .. Life ka sabse bura decision mera . Health infrastructure Jobs PrivatizationEtc etc.,Shabbash! Mera bhi same haal hai,HOF
hasoc_21,1386522751653998595,After days ! When US ask us for Hydroxychloroquine we gave . But today when we need your help you f*cking playing games with us ! And we'r only asking to remove ban from raw material and u ' r removing after day and that also bcz of pressure Will never forgot MC,Stop abusing! How can you use a women centric abusive word especially when you are one?::Don't forget this ever. Pass down this information to your next generations also. Lol,HOF
hasoc_22,1398762391114895362,Mujhe aapki lojik vali baten pasand he or bhakto ko nahi gadha kya jane adrak ka sabad,Gaddar kya jaane desh bhakti ka jazba???,HOF
hasoc_23,1390379707762282496,Thanks for speaking against mamta banerjee,This bugger Doesn't know the difference btw He and She??,NONE
hasoc_24,1390356837145317376,"Suara or who ever you are , it's so sad , in these times when people are going through so much stress of the pandemic , you can't think of anything else but this. It displays the kind of upbringing you had. I pity you.",Hahaha...where is our PM... not even thinking of their people rather more involved in Creating scenes...pity you again::Rohit or what ever you are she is just showing the mind situation of BJP after defeating by TMC. Every one know that the india is in this situation just because of the election and kumbh mela. But for the andh bhakts difficult to digest it.,HOF
hasoc_25,1397102089407397890,"Sir, we need your strong voice for lakshadweep, please stay together and raise your voice..","Ram Rajya us coming to lakshya dweep. Secularists are scared.::, .... Man of Pune !!",NONE
hasoc_26,1395804699849236481,"HAAN Bhai...Brahmon ko bhi nikal do desh se...khair, hum pakistan-bangladesh to nahi ja sakte..Nepal chale jayenge.Paap kiya tha..iss lye % wala brahmin ghar mai paida hua hun",Agar jati ke aadhar par dekho to sabse jayada Brahman % rajput % haiJaishe swarn ko tod ke dekhte ho ushi trah dalit ko tod ke dekho chhamar % aadivashi % mushhar %Phir bhi tumlog aapne aap ko kam dekhte ho,NONE
hasoc_27,1397933602160087045,"The entire RW depends on this East India Company to spread hate and make per tweet. Even during the British rule, RW was in bed with them.","Were you born today? If the RW don't like this East India Company, shouldn't they be joining the swadeshi Koo app?",HOF
hasoc_28,1397956470881193986,For the love of god get a job,true::Outraging is the new job::Uski koi tension nhi..Wo th aise he mil jaeygi,NONE
hasoc_29,1394975101070848002,Caccha shaant hoo jaaiye ..hyper mt hoyiye.. nafrt insaan ko jehreela bna deta hai.. Usne satire likha .. qki unhone murtiyon pr greeb jnta ka paise waste kia.. Haha .kl ko pm modi ke upr satire krne walon pe ye mt bolna ki teli jaati ke logon ka apmaan ..,Oops .. vo to aap kbhi bolenge nhi .. Chliye aap khelte Rhiya apna Twitter Twitter. Bye .. Milte hain saal baad,HOF
hasoc_30,1397245294597783556,Countries where Twitter is banned:1) China2) North Korea3) IranIt requires a special category of 'neechta' to put India in this league.,"Your BJP has that..::Its not ban in Iran here is the link of Iran supremo leader::Twitter::Neechta nahin Himmat chahiye USA ko offend karne ki . Isko loan kahan se milega IMF and World bank se , if he bans Twitter .::He wants to divert::It's Modi's loss if Twitter is banned. Most of their false propaganda is run through Twitter!!::Is there anything that is allowed in Korea::Don't underestimate Narender's neechta..::Oh, neechta ki koi kami nai hai.. inko bhi peeche kar de.. itna neech hai humare wala::Twitter band hone me minutes baaki::Countries which haven't signed NPT or have withdrawn but have nuclear weapons:1) India2) Pakistan ) North KoreaWhat category are you talking about here? Just see how developed China is when compared with India...::Netizens can't suppress the executive rights of Governments elected by Citizens. A private company can't be an arbitrator of public Truth in general and particularly using its monopoly.::This government was elected to do development. Not play ban politics.::Can you please specify the number of countries where they follow local laws.Why is that they are getting a stick in most of the European countries and also in Singapore fell in line with the diktats of that country.::all evil Countries that needs the worlds help to remove there evil goverments::Baki jo bhi ho tum logon ka RR dekh kar achha laga.::Y'all investors especially crypto traders are implured to invest with 'Universal lite capital'.We be making the best profits for you and our percentage charges are the cheapest you can get!On how to invest, inbox me here or on WhatsApp",HOF
hasoc_31,1392718090043985923,Yess! We are not like islamists who beheaded an innocent over a Cartoon of Popat.,"""",HOF
hasoc_32,1395709646321504262,"SIR JI MUJHE AISA LAGTA KI CORONA RJD KA HISSA HAI ISLIYE USKA BHI DIMAG KHARAB HAI LALUJI KE PARIWARWALON KI TARAH ,INKE YAHAN JALDI JALDI CORONA KA TIKA PAHUCHAIYE TAB INKE IMUNITY BADHNE KE SATH SATH SOCHNE KI TAKAT BADHEGI KI MAI AAYEGA TOH MODI HE.",Definitely this video for u.. MUST WATCH::This is for u.. MUST WATCH::Modi gujrat Jayega,NONE
hasoc_33,1394925728081145859,"Still. Karna's brother was abused by them during Brahman's restrictions. I'm guessing what would hav happened, if restrictions were not their.Just thinking...","Comment was from my emotions, as just yesterday I watch the show Karna show in YouTube.::It was not for caste but for class. When the show of power was between sons of kings, How could they have allowed karna? Many other stayed out. It was more of a family affair::That's why restrictions were not there sothat abuse of power is not done.",NONE
hasoc_34,1398310162402664452,"Since he is predictable, when are you moving out to Pakistan?",Price of asking a question. And they never ask a question to PM modi::You first!,HOF
hasoc_35,1398270009395273732,",","Yes definitely. Get well soon.::::Sushant sir humne Rohit sir ko kho diya agar Sudheer sir ko kuchh hua to brdast nhi hoga::::?::, , ,::Tu aur ye dono Bhi jau Hell::khatm Karo, desh bachao.::Kaisa dost hai tuJaldi se pahucha de iskoLala ramdev k paas::Rohit Sir Aap mRNA mt abhi real hero tum ho::Not going for Ayurvedic treatment?::",NONE
hasoc_36,1385528352107229189,"Blocking oxygen supply by BJP ruled states is against the ""protocol"", not televising PM-CM meeting!","CM oxygen air lift oxygen CM PM Under informed CM::When Delhi CM dont want to treat patients from BJP ruled states is not against the protocol then y is blocking oxygen from them is??? States were given access to set oxygen producing plants in their states.. y Delhi CM didnt do it?::Your response doesn't surprise meAAPtard jo ho::Ask your CM what he has done to prepare for Covid in the last one year other than endless advertisements.::Blocking allegation is blatant lie. Politically motivated.::Why did kejri only comple /8 sanctioned PSAs::Both are and you justifying one shows your bias.Hes begging for beds, ventilator, pipes etc to centre which could have been arranged by him, all he wants to do is politics::Why Kejriwal set up his own oxygen plant in delhi?::Stop lying loser. And take responsibility for Delhi and Maharashtra.",NONE
hasoc_37,1392759104435736581,dekho,wah bhai.... Ek banda bechara black mei kareed raha.. usko cylinder mil nahi rahaEk banda free mein baat raha hain..Cylinder daba raka hain.Y these were not accounted for initially.Bechaara jo black mein le raha tha..wo bi aap ke paas se le letha..,NONE
hasoc_38,1394545967601360908,", it cell colies , PM",Sambit Shameless... Moron. What more,HOF
hasoc_39,1394530228836265990,Image ???? Still concerned about his image,"its you bias that is speaking.::Shame on u::Assume in your family everyone suffered from dysentery and are on medicines. Now situation is evryone has to go to loo, but there are only two restrooms. Are you being head of the family responsible for this. This is pandemic and we all are facing the wrath. Support and help.",NONE
hasoc_40,1398560025153466373,Get well soon We should not take covid lightly,God bless you and get well soon my dear brother.,NONE
hasoc_41,1397108280044965889,"No Body Is Stoped To Ban It,Lets Ban Face book, Twiter,NDTV,Sure Including Pappu Party.Haha haha","Tu nadgauda nahi, bhen ka l*da hai",HOF
hasoc_42,1394531857039953923,"Don't Comment on Eid, Call 'Super Spreader Kumbh; Congress' Toolkit Exposes Partys Sinister Plot to Fight PM : via","Now You can compare the death of Hindu and Muslim basis od EID and Kumbh and it will clear more::Continue following fake people::N ghochu reporter spreading fame news...::Wow Indian National Congress managed even Modi, Shah and Nadda to organize Kumbh Mela and Election Rallies during Coronavirus period to help making their so called toolkit successful!::Abhi bhi hai::This was happening when India was reporting more than lakh Covid case every single day, who is this man(April west Bengal)::yaad nhi hai itna jo musalmaan ko badnaam kiye bilkul abhi jo desh ka haal hai ish mai kumbh ka v den hai kitne logo ko na jaane sankramit kiya::Why not to comment on EID,::ACTIONS Pls !2024 survivals &amp; UP elections etc for totally depends on;Emergency Actions to be taken on WB Violence/Corruptions Matters etc dented image of BJP/Modi ji like never beforeShow SPINE else looks like BJP SURRENDERED",NONE
hasoc_43,1390381855824773122,Amd if you want to oppose him just schedule a stage and invite him to discuss/debate f2f. He'll spare you and your agenda with ease with his smiling face!,Like swara blabbed earlier in the stage,NONE
hasoc_44,1399047418788777987,ji,,NONE
hasoc_45,1391732031927865351,Ek gas cylinder iske gand me bitha k chod dena chahiye ramdev baba ki gand fat gayi,Bhai Ramzan hai. Kyun sab ka naam kharab karte ho gandi baat kar ke. Aur bhi log criticize kar rahe hain par aapka level itna niche kyun?,HOF
hasoc_46,1383270770965504004,So he should go out with a sword and kill the virus? What is it exactly that you want the govt to do that they are not already doing?,Typical bhakt!::Look at the countries what their leaders are doing,NONE
hasoc_47,1394824478736084996,Got you covered..,Vile fellow,NONE
hasoc_48,1392707614505508868,we are not going to bomb them like the peacefuls!,Yes you are specialised in lynchings. Sit down.,NONE
hasoc_49,1397101600460529665,Countries which have Banned Twitter China Iran North Korea TurkmenistanModi's Ghulam Bhakts want to &amp; make India join this list! Why not just declare India as an authoritarian regime and drop the facade of democracy?,"beloved Bird app::Srivatsa in that case just say once Corona is from China ? Hai Dum::That's a factThere nothing to say differently::Corona is from china. Now ask your feku to make red eye on china.::corona is from china. then what::Corona is from China and you mom is from bejing::Boss ko galat kaise bolega? Dhandha paani bandh ho jayega::Some paid Troller will lose their jobs..this will lead to further unemployment n then again it's Modis fault ...not Andoolanjeevis::First tell ur modi papa to Utter ""china'' for once from his guttermouth.. He will piss under his pants if even try for that::It matters because India didn't create Cholera intentionally and didn't ever try to cover up it's spread until it was too late. Intentions matter a lot but not to you of course as you are here to defend China not CCP to be more specific. Good luck!::Abe pakode chap lawyer Apne baap Modi se pooch na jaake..kya ukaad liye china ka..Salle bhagode darpok ke aulad::::Namazi hai ye bolega to papa ko kharab lag kayega::Sir, we need your strong voice for lakshadweep, please stay together and raise your voice..::Ram Rajya us coming to lakshya dweep. Secularists are scared.::, .... Man of Pune !!::Ghulam Bhakths !!!!::I guess Russia too . Not sure::Sorry! You can use twitter in China with proxy applications. But officially for common citizens- it's banned.::Twitter is best of all app Modi want to control it to win election by spreading fake propeganda::::Twitter has empowered many journalists, doctors, professionals &amp; even common citizens to raise their voice, the world should be grateful to .::And it's the most propagandist platform as well that why need for nodal officers required::Are you serious::They can raise their voices in other platforms too.::Sure you can raise your voice. But they are very selective on taking action::They have also empowered anarchists. If China can live without Twitter why can't India::Lol, you should be saying ""Twitter has empowered many marxists, left funded journalists, communists &amp; many andh-virodhis in India, the radials leftists in this world should be gratefull to::Ohh is it?? se pehle jaise sab ghass charne gaye the ??. These social media platforms are the tools for spreading fake news, rumours propagandas and students ko barbaad kar diya hai. If they don't comply, they should be banned.::They also help to censor the truth about the origin of the China virus::What is the opposition doing?::Why now new rules ..... why not before ..... bcoz now its been exposed I believe::I don't understand what is the criminal offence in labelling some tweet of someone as ""manipulated media"". It seems, Delhi Police have become habitual to be a laughing stock for the country and internationally. Clearly, the government is scared to be in a self destructive mode.::As if every wrong is taking place on social media only nothing happening on the ground.. Right?::Delhi police is just a puppet::Country that funded congress party and signed secret MOU with them.::Oh I think u were there when they funded Congress? Nice .. Be like thisBtw.. I forgot to tell u .. rs has been credited in ur a/c!!::Yes I voted for BJP only to watch people blaming Congress for everything! Totally worth it.::Yeh kaha se pada? Whatsapp university se?::If Twitter not follow Indian laws then ban Twitter in India::deactivate uncle !::Kal India ne tere bhen ko cho*ne ka law banaya toh tu woh bhi follow karega na?::Feku will be in tension over losing million followers and million Bots if he bans Twitter!! Amit Malware will be doubly tensed as he will have to work double shifts to recreate all those bots in KOOAPP !!! I DONT think self loving feku will go for the ban.::Kaash tere sochne k hisab se duniya chalti::CONgress' gulam dog always has to bark for every decision taken by GOI.::what abt u modi's dick suckin ass lickin parasite::is father of::No Body Is Stoped To Ban It,Lets Ban Face book, Twiter,NDTV,Sure Including Pappu Party.Haha haha::Tu nadgauda nahi, bhen ka l*da hai::Srivatsa, we are free to take our decision. We do not depend on other countries.Authoritarian or democracy, we do not tolerate any thing which is bad for our India.We stood our ground firm in banning chain apps. It is another matter that anti India Congress stood with chain.::So Speaking bad on BJP is bad for IndiaKuch bhi bolte hoUncle ji::Without twitter how will Congress trolls survive?They can't move to Koo as they have called it RW app. Only on twitter they can abuse ji, Shri etc..Reaction of Congress trolls after hearing Twitter and Facebook may be banned.::Don't worry India govt will never ban Twitter or FB.::Sir who is we here ? No one wants this ban just people like you::Modi is bad for our India, not twitter::Old man, what we are discussing here is all about our constitutional rights, free speech and expression. Don't be a blind fake patroit!!::Kuch pata hota nahi hai bhokna shuru kar dete hai kuch guidelines the jo follow karne bola tha for data security jo ye kar nahi rahe isliye chalu hai ye, thoda akkal ka upyog kijiye, bas smartphone hath mai hai to kuch bhi kachra na failaye.::nye IT rules agar platforms follow krne lage to sarkar ko hak mil jaega ki log in platforms pe kya post karenge use control kare to agar govt ko koi criticize kare to uska account ban krne ka govt ko license mil jaega khud tereko kuch pta nhi aa gya idhar chutiyapa karne::But China has also Vaccinated million in a day. No?China is developing faster than India and u like it. No?China is best according to u. But India is bad. No?Fir let's go Chinese way!!Acha hi hai na::desh aise logo se khatre mei zaroor h::bhenchod china yaha kaha se agaya::Well china is also an atheist majority country, they condemn religion, you aren't allowed to become a government officials if you follow a religion. I'm up for it, but are you::China doesn't give importance to religion. Will you do the same?::We need India's own Twitter, kab tak angrejo ki gulami katogi, padh likh k engineering karo fir inlogo k under kaam, why not India own Twitter kind of app::Please join Koo india own Twitter::Iran has some form of censorship (like India does) but it didn't ban Twitter. At least I wasn't able to find any report on it. Maybe somebody can link to it. Banning Twitter would make India even less of a democracy than it already is. FOE is one of the pillars of democracy.::Shaheed Babri Masjid... Well there you go... Your reason on being miffed over this decision of the current government like all the other decisions of the current government irrespective of whether it's good or bad is crystal clear.::We dont need democracy. We need a hindu rashtra like countries have islamic rashtra::Bruh India isn't your country...57 nations are there of ur choice..u can live there with ur religious law...or else find Kaagaz::Says a person who runs the social media of a party that is hand in gloves with China.A party that supports China on every issue. A party that praises China for everything. A party that did deal with China in an unofficial way during UPA govt.Irony died a thousand deaths.::If China cannlive without Twitter why cant India. China is the power of the future. US, UK etc are countries in decline::China has its own network, China is a sovereign country, do not want to do the United States network colonization, but as an individual can go to any website. India is not an independent country and needs to do American cyber colonization::Have been saying this since . India has become mixture of Iran n N.Korea. where leader was made into a god figure, n blind followers attacked anyone who opposed it. His face thrust everywhere,from petrol pumps to vaccine certificates. As if he is doing favours to indians.::Such hatred is allowed in twitter::We would rather prefer to be an autocracy ruled by an Indian elite ruler, than an autocracy ruled by big tech firms from California.Twitter is NOT a basic requirement of democracy.::se pehle kaha tha tu bhai..tab kya sab thik tha? have you ever imagine why so much hate are spreading now. Nah coz tum logo chamcha banna hai..I would say BJP is not up to the mark but congress has crossed limit to defame BJP as well India. BJP is fine but India not at all::yup lets make it an authoritarian regime, Please help::I thought congress supports China decisions. Meanwhile we have got our local platform Koo to use.::Beware!! When a private company from outside starts controlling the emotion &amp; narrative of a nation.*""East India company happens""*::Twitter is also a virus like Corona. It weakens society s from within by rasing infighting and inviting civil unrest. It is already destroying countries like US, UK::Sometimes i feel ki ye vote deke galti kardi .. Life ka sabse bura decision mera . Health infrastructure Jobs PrivatizationEtc etc.::Shabbash! Mera bhi same haal hai::You can leave india Settle in a country where you can use twitter If it is banned::Hum to India me hi use karenge. When technology is going to help?::Or you can leave Twitter and live in stone age if you don't like it::Before democracy it's replublic first ...... anyways u like monarchs. Congress chamchas are and their gulam mindset::Rahul Ka Gulam chamcha..gyan de RHA hai::",HOF
hasoc_50,1399043598155272192,Yes nali ka kida did learnt from fellow chamchas,I got something for you,HOF
hasoc_51,676633132985163776,CBI was a Caged Parrot under Congress CBI a Tamed Cow under Modi Govt,Wah years and going,NONE
hasoc_52,1395097090712236032,Why? Is the left only having right for freedom of speech as long as it resonates with their ideology? Where were you when Munawar was making fun of Hindus &amp; their gods? That time you got shit stuck in your nose? Get fucked idiot.,Hindu God(esse)s are not real but fictional characters.Fictional characters can't be given exemption from mockery.,HOF
hasoc_53,1398053761533153281,Kitne paise mile tweet ke,Jitne Teri ammi ka halala ke waqt mile the,HOF
hasoc_54,1396139210084556805,Kunal have you forgotten the beating you got when you and your friend insulted HANUMANJI?Do u remember?,Refresh the actions so that it's not forgotten::.. .::Low life goo bhakt::Huh::modi ka beta::Hanuman ji ne to kuch nahi kaha lekin to log violent kyu ho jate ho?,NONE
hasoc_55,676644586123493380,*psychopath . This is what happens when u focus on politics and not education,. Please tell that to th fail PM,NONE
hasoc_56,1394956708225720324,Jb sara din hindu dharam ko galat bolte ho tb???,"Hindu dharma aur anya dharma galat the, galat hai aur galat hi rahegnge.",HOF
hasoc_57,1397111694904623106,"Kuch pata hota nahi hai bhokna shuru kar dete hai kuch guidelines the jo follow karne bola tha for data security jo ye kar nahi rahe isliye chalu hai ye, thoda akkal ka upyog kijiye, bas smartphone hath mai hai to kuch bhi kachra na failaye.",nye IT rules agar platforms follow krne lage to sarkar ko hak mil jaega ki log in platforms pe kya post karenge use control kare to agar govt ko koi criticize kare to uska account ban krne ka govt ko license mil jaega khud tereko kuch pta nhi aa gya idhar chutiyapa karne,HOF
