comment,amr
CAN SHE BE FIRST? BREAKING: French far-right leader Le Pen calls for death penalty,"# ::snt CAN SHE BE FIRST? BREAKING: French far-right leader Le Pen calls for death penalty
(m / multi-sentence
      :snt1 (p / possible-01
            :ARG1 (o / ordinal-entity
                  :value 1)
            :polarity (a / amr-unknown))
      :snt2 (b / break-13
            :ARG1 (c / call-03
                  :ARG0 (p2 / person
                        :name (n / name
                              :op1 ""Le""
                              :op2 ""Pen"")
                        :ARG0-of (l / lead-02
                              :ARG1 (p3 / political-party
                                    :name (n2 / name
                                          :op1 ""Far""
                                          :op2 ""Right"")
                                    :mod (c2 / country
                                          :name (n3 / name
                                                :op1 ""France"")))))
                  :ARG1 (p4 / penalty
                        :mod (d / die-01)))))"
Another RWNJ leader,"# ::snt Another RWNJ leader
(p / person
      :ARG0-of (l / lead-02
            :ARG1 (o / organization
                  :name (n / name
                        :op1 ""RWNJ"")))
      :mod (a / another))"
Hope she lose it.,"# ::snt Hope she lose it.
(h / hope-01
      :ARG1 (l / lose-02
            :ARG0 (s / she)
            :ARG1 (ii / it)))"
It won't bring them back &amp; France would be sinking as low as the perpetrators,"# ::snt It won't bring them back &amp; France would be sinking as low as the perpetrators
(m / multi-sentence
      :snt1 (b / bring-01
            :polarity -
            :ARG0 (ii / it)
            :ARG1 (a / and
                  :op1 (t / they)
                  :op2 (a2 / amp))
            :direction (b2 / back))
      :snt2 (s / sink-01
            :ARG1 (c / country
                  :name (n / name
                        :op1 ""France""))
            :manner (l / low-04
                  :ARG2-of (h / have-degree-91
                        :ARG1 c
                        :ARG3 (e / equal)
                        :ARG4 (p / person
                              :ARG0-of (p2 / perpetrate-01))))))"
"For those that collaborated with the Nazi occupation in WW2 too, eh? Them and ex-pied noir FN's main supporters..","# ::snt For those that collaborated with the Nazi occupation in WW2 too, eh? Them and ex-pied noir FN's main supporters..
(m / multi-sentence
      :snt1 (r / request-confirmation-91
            :ARG2 (p / person
                  :mod (t / that)
                  :ARG0-of (c / collaborate-01
                        :ARG1 (o / occupy-01
                              :ARG0 (p2 / political-party
                                    :name (n / name
                                          :op1 ""Nazi"")))
                        :time (w / war
                              :name (n2 / name
                                    :op1 ""WW2""))
                        :mod (t2 / too))))
      :snt2 (a / and
            :op1 (t3 / they)
            :op2 (p3 / person
                  :ARG0-of (s / support-01
                        :ARG1 (p4 / political-party
                              :name (n3 / name
                                    :op1 ""FN""))
                        :mod (m2 / main)
                        :time (e / ex)))))"
some ppl hold the opinion an eye for an eye.,"# ::snt some ppl hold the opinion an eye for an eye.
(h / hold-01
      :ARG0 (p / person
            :quant (s / some))
      :ARG1 (t / thing
            :ARG1-of (o / opine-01))
      :mod (e / eye
            :prep-for (e2 / eye)))"
better a hater than a degenrate religious apologist,"# ::snt better a hater than a degenrate religious apologist
(h / have-degree-91
      :ARG1 (p / person
            :ARG0-of (h2 / hate-01))
      :ARG2 (g / good-02
            :ARG1 p)
      :ARG3 (m / more)
      :ARG4 (p2 / person
            :mod (r / religious)
            :ARG1-of (d / degrade-01)
            :ARG0-of (a / apologist-00)))"
hiii les prochaines lections a va tre le bordel,"# ::snt hiii les prochaines lections a va tre le bordel
(l / lection
      :mod (v / voila
            :mode expressive)
      :mod (p / prochaines)
      :ARG1-of (e / equal-01
            :ARG2 (p2 / possible-01
                  :ARG1 (b / bordel))))"
"Well done (NOT) for promoting that far-right party, it will really help keep us safe, as the death penalty does NOT do!!","# ::snt Well done (NOT) for promoting that far-right party, it will really help keep us safe, as the death penalty does NOT do!!
(a / and
      :op1 (d / do-02
            :ARG1 (p / promote-02
                  :ARG1 (p2 / party
                        :mod (t / that)
                        :ARG1-of (r / right-08
                              :degree (f / far))))
            :ARG1-of (w / well-09))
      :op2 (h / help-01
            :ARG0 p
            :ARG1 (k / keep-01
                  :ARG1 (s / safe-01
                        :ARG1 (w2 / we)))
            :ARG1-of (r2 / real-04)
            :ARG1-of (c / cause-01
                  :ARG0 (d2 / do-02
                        :polarity -
                        :ARG0 (p3 / penalty
                              :mod (d3 / die-01))))))"
Rysk propaganda om fransk imbecill. : BREAKING: French far-right leader Le Pen calls for death penalty,"# ::snt Rysk propaganda om fransk imbecill. : BREAKING: French far-right leader Le Pen calls for death penalty
(m / multi-sentence
      :snt1 (p / propaganda
            :mod (c / country
                  :name (n / name
                        :op1 ""Rysk""))
            :mod (c2 / country
                  :name (n2 / name
                        :op1 ""France"")))
      :snt2 (b / break-13
            :ARG1 (c3 / call-03
                  :ARG0 (p2 / person
                        :name (n3 / name
                              :op1 ""Le""
                              :op2 ""Pen"")
                        :ARG0-of (l / lead-02
                              :ARG1 (p3 / political-party
                                    :name (n4 / name
                                          :op1 ""Far""
                                          :op2 ""Right""
                                          :op3 ""Party"")))
                        :mod (c4 / country
                              :name (n5 / name
                                    :op1 ""France"")))
                  :ARG1 (d / die-01
                        :ARG1 p2))))"
LMAO,"# ::snt LMAO
(l / laugh-01
      :ARG0 (ii / i
            :part (a / ass))
      :ARG3 (o / off
            :op1 a))"
Why is that a breaking news?,"# ::snt Why is that a breaking news?
(n / news
      :ARG1-of (b / break-13)
      :domain (t / that)
      :ARG1-of (c / cause-01
            :ARG0 (a / amr-unknown)))"
